Year,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
FAFL_Tim,nan,319.0,324.0,304.0,317.0,318.0,nan,323.0,nan,283.0,312.0,333.0,nan,320.0,318.0,317.0,347.0,313.0,nan,nan,296.0,348.0,299.0,320.0,310.0,335.0,298.0,nan,320.0,303.0,315.0,308.0,337.0,303.0,nan,nan,nan,344.0,322.0,327.0,nan,321.0,nan,324.0,330.0,nan,335.0,304.0,326.0,348.0,340.0,343.0,310.0,318.0,292.0,nan,325.0,297.0,328.0,326.0,nan,326.0
FAFL_Mag,nan,2310.011825761952,5210.002636930717,7169.741756562601,12699.851776399062,1299.9547601515037,nan,1919.952006895402,nan,5130.007271051642,12499.89766288797,6779.941996778247,nan,3509.888389568913,1399.8797118782816,3039.968908746203,2250.0283001438183,4739.854281158673,nan,nan,9669.811226343729,4069.9759650514748,4239.881089579985,361.95421374881084,3380.006200767893,1509.9518824368292,5389.822927383151,nan,9899.860585963612,1959.9815453765757,4579.928821693999,2109.9928818334993,3699.9903107739697,476.98345165238254,nan,nan,nan,472.96894119556384,341.9502468383454,1599.9715207766794,nan,2539.945298869256,nan,4330.034675005494,1750.0004155745717,nan,2000.000070927244,310.99380047558094,1559.9543401173057,4119.774259416254,2749.962169582052,10299.717702789492,4509.9038957009025,1949.8666878088493,3319.842924140916,nan,643.9852333248979,1699.9928924503515,1499.9773075533876,1449.9762450947408,nan,5039.763924809353
FAFL_Tim_Wet,321.0,330.0,333.0,19.0,352.0,1.0,26.0,31.0,327.0,85.0,2.0,337.0,359.0,324.0,339.0,324.0,356.0,319.0,330.0,345.0,302.0,359.0,304.0,54.0,315.0,10.0,304.0,335.0,320.0,326.0,318.0,310.0,21.0,338.0,333.0,322.0,3.0,11.0,354.0,343.0,340.0,333.0,344.0,332.0,345.0,321.0,341.0,346.0,330.0,349.0,341.0,70.0,335.0,329.0,346.0,355.0,356.0,48.0,13.0,329.0,38.0,328.0
FAFL_Dur,nan,2.0,5.0,9.0,4.0,2.0,nan,2.0,nan,4.0,5.0,7.0,nan,6.0,2.0,2.0,6.0,2.0,nan,nan,4.0,4.0,2.0,2.0,3.0,4.0,2.0,nan,7.0,2.0,3.0,2.0,2.0,5.0,nan,nan,nan,6.0,2.0,2.0,nan,3.0,nan,2.0,3.0,nan,3.0,3.0,3.0,6.0,2.0,3.0,5.0,2.0,4.0,nan,2.0,3.0,3.0,2.0,nan,3.0
Wet_BFL_Mag,782.5,515.5,839.0,249.0,440.6,118.0,712.4000000000001,362.0,354.8,288.0,581.0,1600.0,797.6,446.6,133.20000000000002,982.0,868.0,701.0,722.0,697.5,883.1,676.8,418.2,41.0,636.8000000000001,154.0,650.2,265.0,996.0,449.00000000000006,1980.0,1342.0000000000002,276.4,148.4,730.1,634.0,248.6,121.7,166.2,520.4000000000001,368.7,652.0,1027.3,840.0,802.0,628.0,330.70000000000005,70.9,1090.0,822.2,1080.0,429.0,438.0,388.4,128.0,331.6,385.80000000000007,426.8,126.0,344.6,604.5,518.6
WIN_Tim_2,21.5,365.0,14.0,43.0,20.0,38.0,92.5,43.0,353.0,68.0,7.0,358.0,365.0,48.0,33.5,14.0,3.0,49.0,40.0,2.0,356.5,43.0,57.0,nan,340.5,27.5,12.0,nan,20.5,45.0,334.0,333.0,32.0,nan,344.0,351.5,8.0,nan,nan,49.5,342.0,55.0,23.0,2.5,39.0,38.5,14.0,nan,17.0,361.0,363.0,39.0,11.0,25.5,32.5,37.0,nan,75.0,76.0,347.0,69.0,355.0
WIN_Dur_2,3.5,2.0,3.0,1.5,2.0,2.0,2.5,2.0,3.0,2.0,2.0,2.5,3.0,1.0,2.5,2.0,7.0,2.0,3.0,1.0,1.0,2.0,1.0,nan,1.0,1.0,2.0,nan,1.5,2.5,6.0,1.0,4.5,nan,1.0,1.5,1.0,nan,nan,2.0,1.0,2.5,2.0,2.5,1.0,1.5,2.0,nan,1.0,1.0,2.0,1.5,2.0,2.0,1.5,2.0,nan,1.0,2.0,1.0,1.0,2.0
WIN_Fre_2,4.0,1.0,5.0,6.0,6.0,4.0,2.0,3.0,1.0,4.0,3.0,6.0,2.0,4.0,2.0,5.0,2.0,6.0,4.0,2.0,10.0,7.0,3.0,0.0,6.0,2.0,3.0,0.0,8.0,8.0,2.0,3.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0,4.0,9.0,4.0,5.0,6.0,3.0,0.0,4.0,3.0,3.0,2.0,7.0,4.0,2.0,2.0,0.0,3.0,3.0,2.0,1.0,1.0
WIN_Tim_5,21.0,364.0,10.0,56.0,28.0,27.0,73.0,52.5,20.0,29.0,355.0,355.0,40.5,48.0,14.0,20.0,16.0,357.5,343.0,4.5,356.5,58.0,338.0,nan,10.5,85.5,12.0,29.0,20.0,40.0,359.0,5.5,50.5,nan,344.0,77.0,79.0,nan,nan,52.0,365.5,72.5,52.0,358.0,34.0,21.0,40.0,nan,362.5,361.0,1.0,89.0,11.0,28.5,4.0,39.5,71.5,74.0,82.0,350.5,69.0,354.0
WIN_Dur_5,3.5,1.0,2.0,4.0,3.0,2.0,1.0,4.0,2.0,4.0,1.5,6.0,1.5,3.5,4.0,4.0,3.0,3.5,4.0,3.0,3.0,7.0,1.0,nan,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.5,4.5,nan,2.0,1.0,2.0,nan,nan,2.0,1.0,2.5,4.0,4.0,2.0,4.0,1.5,nan,1.0,2.0,3.0,2.0,2.0,2.5,6.0,1.5,1.0,1.0,3.0,2.5,1.0,2.0
