Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
SU_BFL_Dur_Fl,158.0,108.0,162.0,149.0,nan,153.0,144.0,145.0,196.0,132.0,200.0,177.0,88.0,nan,105.0,133.0,110.0,175.0,64.0,112.0,92.0,146.0,110.0,118.0,66.0,221.0,143.0,148.0,nan,116.0,125.0,75.0,65.0,103.0,nan,210.0,140.0,221.0,96.0,231.0,82.0,140.0,182.0,175.0,104.0,nan,nan,98.0,170.0,81.0,144.0,115.0
SU_BFL_Dur_Wet,259.0,219.0,234.0,283.0,136.0,202.0,244.0,181.0,245.0,265.0,251.0,240.0,239.0,137.0,225.0,240.0,186.0,249.0,149.0,232.0,211.0,272.0,224.0,272.0,236.0,263.0,219.0,212.0,161.0,231.0,216.0,178.0,72.0,233.0,208.0,240.0,225.0,230.0,241.0,257.0,201.0,225.0,210.0,231.0,162.0,nan,nan,160.0,183.0,225.0,237.0,208.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,nan,363.0,342.0,24.0,337.0,nan,14.0,350.0,10.0,32.0,318.0,41.0,32.0,310.0,nan,322.0,337.0,339.0,20.0,290.0,330.0,316.0,352.0,316.0,338.0,284.0,54.0,357.0,11.0,nan,339.0,318.0,299.0,315.0,318.0,nan,44.0,341.0,62.0,297.0,63.0,300.0,364.0,38.0,10.0,346.0,nan,12.0,335.0,18.0,303.0,329.0
FAFL_Mag,nan,235.9342489872538,95.86855881964664,139.96099868564124,55.93177657592858,nan,111.92170185638295,88.97728334813232,79.98445398646479,52.960186084438675,12.985797649573719,348.0404002891631,1589.8567537432016,47.93168055150486,nan,156.00631698806544,104.01700768985577,33.8744099172526,695.8494515965508,79.99819484439118,102.83456910138104,61.94267020655664,85.94730342456063,289.8503864527437,91.88324086353094,49.90729607692751,11.97802999260881,137.88769633404505,501.69186512985306,nan,35.96317046485035,310.99674199825597,278.94894998009784,214.92193755290356,49.995349358193096,nan,94.88131182083038,13.933458493860185,71.90874689824228,77.91039860080289,157.82869300391962,22.995595140172576,84.91180170193556,31.920802643005945,507.7824246494082,161.97058616717715,nan,100.02001958584779,118.94954184267816,147.95867435008404,56.87807797705161,73.28761605261504
FAFL_Tim_Wet,320.0,99.0,88.0,96.0,106.0,352.0,63.0,85.0,46.0,81.0,86.0,92.0,95.0,96.0,357.0,77.0,79.0,50.0,94.0,10.0,85.0,70.0,113.0,65.0,127.0,89.0,96.0,68.0,75.0,9.0,89.0,44.0,37.0,322.0,83.0,40.0,74.0,61.0,71.0,77.0,89.0,54.0,84.0,66.0,66.0,39.0,nan,76.0,32.0,31.0,82.0,57.0
FAFL_Dur,nan,6.0,3.0,2.0,2.0,nan,4.0,4.0,2.0,9.0,3.0,5.0,7.0,4.0,nan,5.0,2.0,3.0,2.0,6.0,5.0,3.0,3.0,7.0,5.0,2.0,10.0,2.0,4.0,nan,2.0,3.0,6.0,4.0,3.0,nan,8.0,3.0,9.0,4.0,2.0,7.0,2.0,5.0,2.0,2.0,nan,4.0,4.0,4.0,4.0,4.0
Wet_BFL_Mag,90.69999999999999,37.800000000000004,18.0,13.0,8.6,103.3,12.0,12.0,14.0,15.0,3.5900000000000003,35.0,39.0,14.0,82.80000000000001,28.0,26.0,10.0,106.0,12.0,24.0,9.6,25.8,31.0,7.699999999999999,12.0,4.220000000000001,27.900000000000002,28.4,100.00000000000001,7.21,28.6,58.0,119.0,14.5,215.4,11.0,8.31,60.199999999999996,5.49,24.5,3.7,32.0,15.9,56.0,16.9,nan,101.80000000000001,32.900000000000006,60.4,11.0,26.14
WIN_Tim_2,337.0,133.0,nan,118.0,nan,84.0,nan,142.5,nan,nan,nan,nan,31.0,nan,365.0,nan,141.0,nan,75.5,nan,nan,nan,150.0,nan,153.5,nan,nan,141.0,142.5,96.0,nan,121.0,49.5,343.5,nan,56.5,nan,nan,nan,nan,nan,nan,145.5,nan,151.0,137.0,nan,123.0,nan,129.0,nan,nan
WIN_Dur_2,2.0,29.0,nan,2.0,nan,3.0,nan,1.0,nan,nan,nan,nan,2.0,nan,1.5,nan,2.0,nan,1.5,nan,nan,nan,2.0,nan,8.5,nan,nan,3.0,4.0,1.5,nan,4.0,1.0,2.0,nan,4.5,nan,nan,nan,nan,nan,nan,3.0,nan,6.0,3.0,nan,1.0,nan,1.0,nan,nan
WIN_Fre_2,3.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,2.0,4.0,0.0,5.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,nan,5.0,0.0,1.0,0.0,0.0
WIN_Tim_5,337.0,124.0,118.0,124.0,nan,25.0,146.5,125.0,nan,nan,nan,85.0,141.0,nan,136.0,nan,115.0,nan,113.0,18.5,nan,nan,145.0,136.0,140.5,nan,nan,115.0,125.0,139.5,nan,46.0,43.0,48.0,nan,123.0,nan,nan,nan,nan,nan,nan,129.0,nan,93.0,91.5,nan,119.0,133.0,58.0,nan,nan
WIN_Dur_5,4.0,48.0,1.0,4.0,nan,3.0,2.5,2.0,nan,nan,nan,4.0,1.5,nan,3.5,nan,9.0,nan,4.0,1.5,nan,nan,14.0,8.5,14.5,nan,nan,1.0,2.0,6.5,nan,4.0,1.5,2.5,nan,5.0,nan,nan,nan,nan,nan,nan,7.0,nan,5.5,3.5,nan,1.0,2.0,1.0,nan,nan
WIN_Fre_5,3.0,1.0,1.0,3.0,0.0,7.0,2.0,5.0,0.0,0.0,0.0,2.0,4.0,0.0,6.0,0.0,4.0,0.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,5.0,3.0,6.0,0.0,3.0,8.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0,nan,7.0,4.0,5.0,0.0,0.0
WIN_Tim_10,56.5,104.0,144.0,111.0,147.0,22.0,133.0,101.0,47.0,132.0,nan,117.5,126.0,147.0,70.0,42.5,105.0,nan,91.0,21.0,143.0,64.0,118.0,91.0,108.5,nan,nan,90.0,88.5,85.5,121.0,67.0,36.5,47.0,104.0,96.0,nan,nan,113.5,nan,148.0,nan,101.0,nan,85.0,100.0,nan,37.0,116.0,83.0,121.0,125.5
WIN_Dur_10,3.5,1.0,3.0,3.0,5.0,8.0,12.5,2.0,1.0,3.0,nan,2.0,7.0,1.0,8.0,5.5,3.5,nan,4.0,4.0,10.0,3.0,2.0,1.0,22.0,nan,nan,1.0,7.5,4.0,3.0,1.5,2.0,2.0,2.0,16.0,nan,nan,9.0,nan,4.5,nan,1.5,nan,4.5,2.5,nan,3.0,3.0,2.0,4.0,2.0
WIN_Fre_10,6.0,4.0,5.0,3.0,3.0,5.0,2.0,4.0,1.0,1.0,0.0,8.0,3.0,1.0,4.0,2.0,4.0,0.0,7.0,3.0,3.0,2.0,5.0,5.0,2.0,0.0,0.0,5.0,4.0,8.0,1.0,10.0,16.0,9.0,3.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,6.0,8.0,nan,5.0,7.0,6.0,3.0,4.0
WIN_Tim_20,22.0,24.0,113.0,74.5,134.0,14.0,65.0,82.0,121.5,107.5,nan,73.0,97.0,142.0,25.0,26.0,29.0,128.5,50.0,91.0,96.0,77.0,78.5,74.5,84.0,33.0,nan,59.0,78.0,71.0,129.0,1.0,334.0,343.0,67.5,7.5,125.0,134.0,89.0,110.0,134.5,114.0,47.0,131.0,43.0,63.5,nan,54.0,48.0,64.5,89.0,365.0
WIN_Dur_20,3.0,1.0,63.0,1.5,16.0,19.0,3.0,3.5,4.0,3.5,nan,2.5,3.0,2.0,8.0,2.0,3.0,10.0,2.5,5.0,2.0,1.5,3.0,1.5,2.0,3.0,nan,4.5,2.5,27.0,18.0,2.0,2.0,6.0,27.5,62.5,1.0,1.0,1.0,5.0,4.0,1.0,2.0,3.0,2.0,8.0,nan,12.0,5.0,2.5,5.0,1.0
WIN_Fre_20,7.0,7.0,1.0,4.0,2.0,5.0,3.0,4.0,4.0,6.0,0.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,8.0,6.0,5.0,4.0,4.0,10.0,7.0,2.0,0.0,6.0,8.0,4.0,2.0,5.0,7.0,9.0,2.0,2.0,2.0,1.0,5.0,3.0,4.0,5.0,6.0,1.0,6.0,6.0,nan,4.0,7.0,8.0,3.0,5.0
WIN_Tim_50,304.0,355.5,26.0,110.5,1.0,340.0,40.0,24.0,42.0,52.5,75.0,4.5,350.0,30.0,91.0,318.0,333.0,15.0,359.0,341.0,3.0,13.5,352.0,314.0,119.5,45.0,133.0,107.5,105.5,1.0,32.5,110.0,266.0,289.0,329.0,336.0,80.0,17.0,24.5,11.5,69.0,105.0,359.5,48.0,339.5,364.0,nan,125.0,311.0,324.0,37.0,326.0
WIN_Dur_50,1.0,9.0,3.0,5.0,2.0,5.0,3.0,44.0,2.0,2.0,1.0,81.5,1.0,1.5,2.5,224.0,4.0,4.0,2.0,9.0,18.0,5.0,12.0,254.0,3.5,3.0,4.0,4.5,2.0,5.0,4.5,134.0,4.0,135.5,2.0,3.0,5.0,2.0,1.5,2.5,4.5,2.5,1.0,2.0,117.5,5.0,nan,5.0,7.0,2.0,2.0,225.0
WIN_Fre_50,3.0,4.0,6.0,4.0,5.0,3.0,3.0,3.0,5.0,6.0,5.0,2.0,3.0,8.0,4.0,1.0,3.0,3.0,7.0,4.0,4.0,4.0,3.0,1.0,4.0,9.0,7.0,6.0,4.0,4.0,4.0,2.0,3.0,2.0,5.0,5.0,7.0,3.0,4.0,4.0,4.0,8.0,4.0,3.0,2.0,3.0,nan,6.0,5.0,3.0,7.0,1.0
