Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
WIN_Tim_2,nan,nan,59.5,132.0,56.5,90.0,76.0,nan,87.5,354.5,109.5,nan,nan,nan,nan,65.0,57.0,72.0,149.0,141.0,19.0,106.5,96.0,nan,38.0,nan
WIN_Dur_2,nan,nan,1.0,3.0,1.0,3.0,4.0,nan,2.5,1.0,3.5,nan,nan,nan,nan,1.0,2.0,1.0,1.0,2.0,1.0,1.5,1.0,nan,1.0,nan
WIN_Fre_2,nan,0.0,2.0,3.0,2.0,9.0,5.0,0.0,4.0,2.0,6.0,0.0,0.0,nan,nan,3.0,3.0,4.0,1.0,1.0,1.0,8.0,1.0,0.0,1.0,0.0
WIN_Tim_5,nan,nan,127.0,130.0,79.0,113.0,122.0,nan,44.0,58.0,136.0,154.0,nan,nan,nan,91.0,150.5,72.0,125.0,139.0,148.0,104.5,129.0,nan,95.0,45.0
WIN_Dur_5,nan,nan,1.0,2.0,1.0,2.0,6.0,nan,3.0,1.0,3.0,3.0,nan,nan,nan,1.5,6.5,1.0,1.0,2.0,3.0,3.5,1.0,nan,1.0,1.0
WIN_Fre_5,nan,0.0,5.0,5.0,3.0,13.0,10.0,0.0,5.0,4.0,10.0,1.0,0.0,nan,nan,8.0,4.0,4.0,3.0,3.0,4.0,6.0,5.0,0.0,3.0,1.0
WIN_Tim_10,nan,120.5,119.5,89.0,137.0,83.0,76.0,nan,122.0,82.0,91.0,144.5,nan,nan,nan,101.0,132.0,70.0,132.0,126.5,132.0,51.0,121.5,nan,109.5,101.0
WIN_Dur_10,nan,1.5,7.5,1.0,1.0,3.0,18.0,nan,4.0,3.0,6.0,6.5,nan,nan,nan,2.0,5.0,2.0,5.0,5.5,4.0,2.0,2.0,nan,2.0,1.0
WIN_Fre_10,nan,8.0,4.0,7.0,5.0,9.0,5.0,0.0,10.0,7.0,9.0,2.0,0.0,nan,nan,11.0,5.0,7.0,5.0,4.0,5.0,7.0,6.0,0.0,6.0,4.0
WIN_Tim_20,nan,105.0,99.0,88.0,76.0,63.0,48.5,128.0,35.0,48.5,34.0,149.0,142.5,nan,nan,24.0,123.5,93.0,84.0,100.0,113.0,62.5,109.0,124.0,91.0,103.5
WIN_Dur_20,nan,3.0,9.0,2.0,1.5,3.0,3.0,2.0,7.0,2.0,3.0,10.0,3.5,nan,nan,4.0,20.5,2.5,1.0,3.0,3.0,2.0,6.5,1.0,3.0,6.5
WIN_Fre_20,nan,9.0,5.0,11.0,10.0,7.0,8.0,5.0,5.0,8.0,6.0,3.0,4.0,nan,nan,7.0,4.0,10.0,6.0,4.0,9.0,10.0,6.0,1.0,9.0,4.0
WIN_Tim_50,nan,338.0,2.0,44.0,1.0,41.0,352.5,24.0,11.0,200.0,360.5,133.0,89.0,nan,nan,361.0,354.0,168.5,328.0,60.0,340.0,38.0,341.0,95.0,18.5,32.0
WIN_Dur_50,nan,6.0,1.0,5.0,5.0,18.0,121.5,3.0,101.5,3.0,110.5,15.0,2.0,nan,nan,3.0,4.5,5.5,6.0,1.0,2.5,22.0,37.0,3.0,2.5,3.0
WIN_Fre_50,nan,7.0,6.0,5.0,5.0,3.0,2.0,9.0,2.0,3.0,2.0,4.0,7.0,nan,nan,4.0,8.0,4.0,3.0,3.0,6.0,3.0,3.0,3.0,8.0,5.0
