Year,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
SU_BFL_Dur_Fl,220.0,270.0,244.0,188.0,160.0,195.0,nan,nan,nan,222.0,nan,nan,nan,nan,226.0,nan,231.0,213.0,nan,254.0,255.0,nan,184.0,181.0,194.0,247.0,nan,183.0,nan,nan,185.0,172.0,nan,nan,nan,200.0,258.0
SU_BFL_Dur_Wet,229.0,307.0,247.0,254.0,162.0,254.0,266.0,289.0,242.0,289.0,nan,189.0,256.0,240.0,279.0,213.0,234.0,223.0,311.0,262.0,259.0,299.0,196.0,213.0,236.0,247.0,188.0,243.0,227.0,299.0,277.0,234.0,303.0,165.0,330.0,203.0,261.0
SU_BFL_No_Flow,92.0,115.0,152.0,58.0,0.0,70.0,126.0,106.0,152.0,176.0,nan,161.0,220.0,151.0,155.0,128.0,94.0,111.0,83.0,0.0,33.0,75.0,138.0,106.0,116.0,133.0,79.0,0.0,109.0,176.0,93.0,100.0,13.0,101.0,246.0,182.0,170.0
FAFL_Tim,11.0,358.0,29.0,354.0,322.0,321.0,332.0,nan,nan,nan,359.0,nan,nan,nan,nan,348.0,nan,16.0,340.0,nan,20.0,24.0,nan,336.0,312.0,363.0,1.0,nan,346.0,nan,nan,286.0,353.0,nan,nan,nan,337.0
FAFL_Mag,60.65795025827198,47.94883235626382,20.033832345376176,83.95318162241583,53.977619483377865,12.949603527449156,15.93337776078705,nan,nan,nan,1.4876332276228872,nan,nan,nan,nan,4.626069222161775,nan,35.94390784915854,38.968621135962614,nan,20.990115143036004,73.9103990166576,nan,18.90106504809159,24.93192685900953,13.646259278671831,22.81455649140996,nan,5.660486560021506,nan,nan,8.454452383578664,50.45354061278429,nan,nan,nan,5.949134527642121
FAFL_Tim_Wet,12.0,2.0,66.0,357.0,23.0,323.0,26.0,39.0,34.0,4.0,61.0,nan,75.0,38.0,5.0,36.0,8.0,19.0,350.0,11.0,28.0,28.0,42.0,348.0,344.0,40.0,1.0,358.0,41.0,3.0,47.0,13.0,50.0,72.0,332.0,39.0,340.0
FAFL_Dur,10.0,2.0,3.0,2.0,3.0,2.0,4.0,nan,nan,nan,3.0,nan,nan,nan,nan,4.0,nan,7.0,2.0,nan,3.0,3.0,nan,2.0,12.0,7.0,2.0,nan,7.0,nan,nan,4.0,3.0,nan,nan,nan,9.0
Wet_BFL_Mag,0.7,1.5,0.32000000000000006,5.0,0.836,2.8099999999999996,0.742,1.76,0.23000000000000004,0.334,0.124,nan,0.0,1.5,5.690000000000001,0.0,2.7600000000000002,4.7,3.7199999999999998,6.279999999999999,2.5100000000000002,0.3,1.1600000000000001,0.269,0.0,0.95,1.7109999999999999,4.49,0.13,0.434,1.389,0.02,1.498,1.29,1.6480000000000006,0.0,0.005
WIN_Tim_2,50.5,52.5,nan,20.0,37.0,343.0,40.0,69.5,44.0,nan,nan,nan,85.0,43.0,38.0,nan,27.0,40.5,7.0,41.5,57.5,54.0,55.0,364.5,350.0,49.0,64.0,80.5,57.0,31.0,63.0,60.5,64.0,90.0,348.5,nan,345.0
WIN_Dur_2,1.0,2.0,nan,2.0,3.0,2.5,1.0,1.5,1.0,nan,nan,nan,1.0,1.0,1.0,nan,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.5,1.0,2.0,1.0,2.0,1.0,1.0,1.0,nan,2.0
WIN_Fre_2,4.0,6.0,0.0,7.0,11.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,5.0,8.0,6.0,10.0,4.0,7.0,1.0,2.0,3.0,3.0,5.0,8.0,1.0,3.0,1.0,2.0,6.0,2.0,4.0,0.0,1.0
WIN_Tim_5,51.0,36.5,81.0,28.0,29.0,11.0,40.0,49.0,44.0,nan,nan,nan,83.0,46.0,29.5,49.0,27.0,31.0,361.0,52.0,47.0,58.5,60.0,31.5,359.0,28.5,61.5,14.0,57.0,40.0,58.0,78.0,48.0,89.5,347.0,nan,349.0
WIN_Dur_5,2.0,7.5,1.0,2.0,3.0,2.0,1.0,6.0,1.0,nan,nan,nan,3.0,1.0,4.0,3.0,7.0,2.0,2.0,2.5,2.0,3.5,1.0,1.5,2.0,2.5,2.0,2.0,3.0,2.5,2.5,1.0,2.0,1.5,1.0,nan,2.0
WIN_Fre_5,5.0,4.0,3.0,9.0,8.0,6.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,1.0,5.0,11.0,7.0,10.0,7.0,6.0,2.0,6.0,8.0,4.0,12.0,9.0,1.0,4.0,2.0,6.0,5.0,4.0,4.0,0.0,3.0
WIN_Tim_10,47.0,53.5,80.0,7.5,63.5,11.0,26.0,33.0,43.0,16.0,77.5,nan,83.0,51.0,50.0,43.0,94.5,24.0,345.0,56.5,39.0,23.0,54.0,31.0,56.0,24.0,63.0,362.0,41.0,25.0,54.0,57.0,42.5,88.0,347.0,59.0,9.5
WIN_Dur_10,2.0,8.5,2.5,3.0,3.0,2.0,1.5,2.0,4.0,2.0,2.0,nan,4.0,3.0,3.0,3.5,1.5,1.0,8.0,5.0,1.0,3.0,2.0,2.0,1.5,2.5,7.5,15.0,2.0,3.0,3.0,2.0,4.5,2.0,2.0,1.0,2.0
WIN_Fre_10,7.0,4.0,4.0,10.0,10.0,10.0,6.0,5.0,1.0,1.0,2.0,0.0,1.0,3.0,9.0,2.0,6.0,9.0,5.0,6.0,10.0,5.0,3.0,10.0,8.0,4.0,8.0,5.0,3.0,3.0,3.0,9.0,8.0,6.0,4.0,3.0,4.0
WIN_Tim_20,44.0,355.0,60.5,327.5,332.0,26.5,343.5,16.0,64.0,16.0,76.0,47.0,72.5,42.0,363.0,41.0,4.0,60.0,336.0,2.0,358.5,69.0,68.0,340.0,76.0,1.0,23.0,352.0,48.5,4.0,54.0,18.0,47.0,74.0,10.5,74.5,8.5
WIN_Dur_20,2.0,1.0,3.0,2.0,2.0,1.5,2.5,2.0,1.0,3.0,4.0,2.0,6.5,16.0,4.0,1.0,1.0,3.0,1.5,2.0,53.5,1.0,1.5,1.0,1.5,9.0,2.5,2.0,3.0,1.0,1.0,1.0,3.0,7.0,30.0,1.0,4.0
WIN_Fre_20,5.0,9.0,4.0,6.0,5.0,4.0,12.0,5.0,7.0,1.0,5.0,1.0,2.0,3.0,3.0,9.0,5.0,4.0,4.0,7.0,2.0,8.0,6.0,7.0,8.0,5.0,6.0,3.0,4.0,5.0,5.0,5.0,7.0,5.0,2.0,4.0,4.0
WIN_Tim_50,335.0,333.0,347.5,216.0,105.5,178.0,302.5,348.0,1.0,53.5,364.0,31.5,68.5,5.0,342.5,365.0,337.5,350.5,322.0,334.0,81.5,347.0,347.0,322.0,323.0,348.0,316.0,333.0,56.5,3.0,7.0,341.0,91.5,20.0,330.0,86.5,345.0
WIN_Dur_50,3.0,3.0,2.0,1.0,4.5,2.0,1.5,5.0,4.0,5.0,3.0,2.0,2.0,2.0,98.0,4.0,2.0,101.5,208.0,2.0,3.0,5.5,7.0,2.0,107.0,2.0,2.0,5.0,1.5,3.0,2.5,3.0,4.5,36.0,77.5,12.5,3.0
WIN_Fre_50,3.0,6.0,12.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,8.0,6.0,5.0,2.0,6.0,8.0,2.0,1.0,5.0,6.0,6.0,7.0,4.0,2.0,3.0,5.0,3.0,4.0,7.0,6.0,3.0,4.0,3.0,2.0,4.0,5.0
