Year,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
SU_BFL_Dur_Fl,192.0,144.0,188.0,232.0,132.0,nan,117.0,148.0,194.0,nan,198.0,143.0,142.0,270.0,137.0,nan,212.0,166.0,217.0,192.0,175.0,102.0,176.0,133.0,nan,178.0,182.0,150.0,125.0,166.0,143.0,nan,nan,nan,134.0,76.0,141.0,nan,132.0,183.0,153.0,146.0,nan,177.0,123.0,nan,199.0,nan,180.0,99.0,184.0,141.0,nan,184.0,85.0,158.0,178.0,nan,136.0,155.0
SU_BFL_Dur_Wet,273.0,177.0,235.0,248.0,203.0,144.0,284.0,203.0,195.0,218.0,199.0,159.0,152.0,275.0,146.0,185.0,217.0,170.0,227.0,195.0,278.0,112.0,217.0,138.0,167.0,194.0,188.0,158.0,128.0,250.0,172.0,193.0,121.0,233.0,161.0,114.0,171.0,125.0,144.0,188.0,161.0,178.0,145.0,182.0,156.0,165.0,200.0,175.0,276.0,114.0,193.0,192.0,210.0,188.0,200.0,202.0,180.0,238.0,162.0,181.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,323.0,304.0,317.0,318.0,8.0,323.0,nan,282.0,312.0,333.0,nan,324.0,318.0,317.0,355.0,312.0,nan,341.0,296.0,348.0,298.0,320.0,298.0,335.0,298.0,nan,302.0,322.0,308.0,307.0,296.0,303.0,nan,nan,nan,344.0,299.0,306.0,nan,321.0,335.0,323.0,304.0,nan,334.0,304.0,nan,348.0,nan,343.0,310.0,318.0,292.0,nan,350.0,297.0,328.0,325.0,nan,296.0
FAFL_Mag,959.9259270047701,738.9831361453352,2849.9731410256127,220.99837273932172,274.9771865367514,347.9871052956967,nan,1299.9937297866568,3999.9742553997694,1299.9398661156797,nan,592.9813149506139,273.8762103170003,222.00645309026154,2179.856650066795,499.9828218807024,nan,192.9719073659548,1389.9569345149107,1149.9557230720302,990.9257210851968,93.99481227127798,825.9368169568221,227.99370468546826,1029.8661235452723,nan,529.9520403186798,909.9232844573166,392.9593488287502,252.9512171972669,571.9816744598804,99.00170003303138,nan,nan,nan,223.93961284924794,122.95149459957666,247.98183506602697,nan,359.972754813726,399.9179222129242,1079.9233661000585,322.98132363476293,nan,500.96641915901125,85.95675788975169,nan,747.9202691147757,nan,1819.518534413341,583.9565193065141,223.97656598297388,1159.8014766840486,nan,263.9683678294581,525.9325962611264,278.99481570709065,321.97418452866606,nan,311.9665586858281
FAFL_Tim_Wet,332.0,20.0,350.0,365.0,24.0,29.0,324.0,84.0,2.0,334.0,360.0,325.0,334.0,327.0,360.0,321.0,328.0,346.0,300.0,358.0,301.0,58.0,308.0,11.0,303.0,331.0,318.0,328.0,316.0,310.0,15.0,332.0,332.0,321.0,1.0,6.0,337.0,336.0,338.0,333.0,340.0,331.0,336.0,319.0,339.0,337.0,329.0,349.0,339.0,74.0,325.0,327.0,343.0,354.0,354.0,47.0,7.0,327.0,37.0,322.0
FAFL_Dur,4.0,2.0,6.0,2.0,3.0,2.0,nan,3.0,3.0,5.0,nan,2.0,2.0,2.0,3.0,2.0,nan,5.0,7.0,4.0,5.0,2.0,7.0,4.0,2.0,nan,4.0,2.0,6.0,8.0,4.0,2.0,nan,nan,nan,6.0,4.0,5.0,nan,3.0,2.0,5.0,3.0,nan,2.0,4.0,nan,2.0,nan,4.0,5.0,2.0,5.0,nan,2.0,3.0,3.0,4.0,nan,4.0
Wet_BFL_Mag,79.5,22.0,46.400000000000006,18.0,66.6,41.0,44.2,29.0,64.6,189.0,210.60000000000002,45.400000000000006,23.6,107.60000000000001,88.4,78.20000000000002,64.4,93.2,93.2,74.2,39.9,7.0,70.0,13.200000000000001,58.0,25.0,89.0,96.5,129.8,37.900000000000006,21.0,33.0,74.2,55.6,25.0,17.0,16.7,51.5,30.900000000000002,106.0,95.0,86.2,47.6,70.0,26.4,12.0,118.89999999999999,89.54,136.8,36.3,106.0,47.300000000000004,19.990000000000002,40.9,76.25,46.800000000000004,21.0,52.05,73.82,27.939999999999998
WIN_Tim_2,20.5,58.0,20.0,38.0,107.0,38.5,3.5,336.0,6.0,358.0,3.0,21.0,33.5,21.0,16.0,363.0,57.0,2.0,333.0,60.0,338.0,nan,330.0,51.5,18.0,362.5,360.0,44.0,343.0,361.0,34.0,nan,66.0,351.0,7.0,13.0,nan,78.0,365.5,55.0,37.5,343.0,45.5,38.0,14.0,nan,30.0,40.5,1.0,50.5,364.0,29.5,31.0,3.0,117.0,363.0,26.0,347.0,57.0,340.5
WIN_Dur_2,2.0,2.0,2.0,1.5,1.0,1.0,1.5,1.0,2.0,1.5,4.0,2.0,1.5,2.0,4.0,2.0,2.0,1.5,2.0,1.5,1.0,nan,1.0,1.0,1.5,1.0,1.0,2.0,1.0,1.5,1.0,nan,1.0,2.0,2.0,1.0,nan,1.0,1.0,1.5,1.0,3.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
