Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
SU_BFL_Dur_Fl,145.0,144.0,nan,nan,nan,nan,154.0,197.0,nan,nan,186.0,nan,128.0,114.0,nan,nan,nan,nan,192.0,nan,nan,343.0,147.0,167.0,nan,197.0,173.0,188.0,184.0,nan,198.0,188.0,90.0,nan,146.0,138.0,104.0,nan,nan,nan,218.0,201.0,nan,nan,nan,193.0,275.0,133.0,183.0,207.0,nan,nan,164.0,167.0,264.0,nan,201.0,nan,212.0,nan,87.0,79.0,nan,225.0,124.0
SU_BFL_Dur_Wet,150.0,145.0,169.0,161.0,173.0,192.0,201.0,224.0,261.0,101.0,248.0,284.0,249.0,254.0,174.0,269.0,118.0,210.0,292.0,189.0,150.0,355.0,190.0,247.0,214.0,316.0,196.0,191.0,192.0,285.0,246.0,254.0,146.0,187.0,224.0,145.0,108.0,143.0,258.0,246.0,248.0,207.0,251.0,171.0,254.0,208.0,275.0,192.0,184.0,234.0,175.0,207.0,217.0,239.0,320.0,153.0,202.0,300.0,242.0,140.0,248.0,124.0,193.0,431.0,330.0
SU_BFL_No_Flow,4.0,0.0,0.0,17.0,49.0,57.0,75.0,0.0,49.0,58.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
FAFL_Tim,nan,364.0,320.0,nan,nan,nan,nan,350.0,6.0,nan,nan,336.0,nan,324.0,314.0,nan,nan,nan,nan,311.0,nan,nan,19.0,322.0,338.0,nan,4.0,362.0,352.0,29.0,nan,20.0,334.0,274.0,nan,315.0,322.0,296.0,nan,nan,nan,5.0,364.0,nan,nan,nan,327.0,39.0,332.0,43.0,12.0,nan,nan,359.0,294.0,2.0,nan,5.0,nan,346.0,nan,278.0,285.0,nan,346.0
FAFL_Mag,nan,118.94516381952938,13.034823120693654,nan,nan,nan,nan,76.99901730584276,43.96561166223498,nan,nan,68.97372233302096,nan,20.866595460010593,8.95114006856459,nan,nan,nan,nan,21.96665281822716,nan,nan,70.98431099247728,59.920260470859326,38.94219642937019,nan,85.83869575551523,275.9441907293673,45.960046503308575,419.8712541596737,nan,91.97943619092807,212.8709859449802,34.99795522546535,nan,30.917066606438915,5.683394562254909,27.976445046869426,nan,nan,nan,77.97494624510045,132.9738255782594,nan,nan,nan,25.94518089421361,216.97982056980734,9.078194075060143,17.980642634729033,40.92267056873695,nan,nan,28.936180995264404,299.9619544928562,265.73507515227413,nan,197.93685167216978,nan,96.68497799902003,nan,15.881382421401735,5.273768455376185,nan,52.864713466355994
FAFL_Tim_Wet,358.0,4.0,321.0,16.0,364.0,19.0,8.0,32.0,33.0,359.0,304.0,33.0,33.0,80.0,89.0,319.0,332.0,318.0,19.0,46.0,327.0,350.0,31.0,365.0,53.0,32.0,123.0,20.0,355.0,37.0,24.0,68.0,35.0,330.0,339.0,28.0,329.0,300.0,345.0,13.0,56.0,35.0,5.0,21.0,5.0,43.0,342.0,39.0,26.0,44.0,39.0,339.0,34.0,47.0,1.0,58.0,340.0,6.0,31.0,11.0,349.0,74.0,330.0,52.0,187.0
FAFL_Dur,nan,3.0,5.0,nan,nan,nan,nan,3.0,8.0,nan,nan,3.0,nan,2.0,1.0,nan,nan,nan,nan,4.0,nan,nan,6.0,7.0,5.0,nan,2.0,4.0,2.0,2.0,nan,3.0,3.0,1.0,nan,8.0,8.0,6.0,nan,nan,nan,3.0,3.0,nan,nan,nan,4.0,3.0,6.0,4.0,2.0,nan,nan,2.0,2.0,3.0,nan,2.0,nan,3.0,nan,3.0,8.0,nan,3.0
Wet_BFL_Mag,0.7,7.2,2.5,3.1,1.3,0.61,1.1,1.7,1.7,1.0,0.1,0.8,1.5,0.8,0.7,16.9,9.0,3.4,109.19999999999999,4.4,1.58,1.94,3.68,2.1,1.7,0.26,1.1,10.0,5.990000000000001,7.0,3.0,3.3499999999999996,7.109999999999999,7.48,4.880000000000001,2.0,1.5,2.8,2.2,0.99,3.45,2.0700000000000003,27.400000000000002,4.37,16.4,2.8999999999999995,1.8,22.0,2.9,6.0,1.5,0.795,0.97,1.1,2.344,2.8,1.3599999999999999,3.616,1.522,2.468,12.64,2.682,0.864,1.052,0.34800000000000003
WIN_Tim_2,nan,16.0,nan,25.0,nan,26.0,nan,50.0,44.5,nan,nan,43.5,40.0,nan,nan,326.0,24.0,324.0,25.0,59.0,344.0,358.0,42.0,36.5,65.0,61.0,67.0,74.5,34.0,61.5,30.0,76.0,59.5,359.0,nan,46.0,nan,111.0,nan,nan,72.0,61.0,14.0,nan,64.0,62.0,357.0,53.0,nan,53.0,55.5,nan,59.0,57.0,3.5,59.0,nan,25.0,38.0,37.0,57.0,nan,nan,59.0,nan
WIN_Dur_2,nan,1.0,nan,1.0,nan,2.0,nan,1.0,1.0,nan,nan,3.0,2.0,nan,nan,5.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.5,1.0,7.5,1.0,3.0,3.0,1.0,nan,1.0,nan,1.0,nan,nan,2.0,3.5,3.0,nan,4.0,2.0,1.0,3.0,nan,1.0,1.0,nan,1.0,1.0,3.5,1.0,nan,2.0,2.0,1.0,2.0,nan,nan,2.0,nan
