Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
SU_Dur_Fl,nan,nan,184.0,nan,nan,nan,nan,nan,nan,nan,238.0,nan,150.0,209.0,256.0,nan,nan,190.0,nan,nan,301.0,nan,175.0,nan,172.0,nan,nan,nan,nan,nan,nan,nan,244.0,nan,nan,220.0,201.0,nan,233.0,258.0,nan,nan,nan,208.0,nan,240.0,144.0,nan,269.0,188.0,215.0,260.0,nan,nan,157.0,288.0,258.0
SU_Dur_Wet,nan,175.0,290.0,213.0,307.0,233.0,307.0,234.0,263.0,250.0,239.0,nan,201.0,209.0,259.0,nan,nan,192.0,237.0,233.0,343.0,232.0,225.0,131.0,177.0,270.0,292.0,267.0,nan,nan,281.0,295.0,247.0,286.0,228.0,221.0,209.0,289.0,239.0,265.0,283.0,269.0,233.0,249.0,271.0,306.0,232.0,267.0,321.0,281.0,285.0,319.0,197.0,nan,158.0,359.0,329.0
SU_No_Flow,nan,168.0,245.0,186.0,293.0,222.0,295.0,202.0,237.0,187.0,198.0,nan,141.0,138.0,140.0,nan,nan,180.0,210.0,194.0,191.0,203.0,94.0,5.0,122.0,202.0,212.0,254.0,nan,nan,266.0,286.0,232.0,230.0,181.0,164.0,150.0,179.0,118.0,201.0,215.0,216.0,226.0,194.0,255.0,176.0,152.0,233.0,276.0,222.0,179.0,172.0,190.0,nan,135.0,272.0,225.0
FA_Tim,nan,nan,nan,286.0,nan,nan,nan,nan,nan,nan,nan,333.0,nan,320.0,335.0,41.0,nan,nan,5.0,nan,nan,30.0,nan,334.0,nan,318.0,nan,nan,nan,nan,nan,nan,nan,2.0,nan,nan,16.0,340.0,nan,20.0,24.0,nan,nan,nan,364.0,nan,360.0,318.0,nan,360.0,286.0,353.0,21.0,nan,nan,337.0,356.0
FA_Mag,nan,nan,nan,147.7355728460951,nan,nan,nan,nan,nan,nan,nan,27.913668294728094,nan,23.03172589019514,109.91581562138565,15.03312529461737,nan,nan,13.955190879193133,nan,nan,13.894082144420656,nan,48.966563229174255,nan,4.203454484109031,nan,nan,nan,nan,nan,nan,nan,26.93359076668904,nan,nan,41.917470903828004,30.980762818921473,nan,25.031119194289843,71.87158514392411,nan,nan,nan,14.528815417903255,nan,21.89014489290708,5.019654370211371,nan,5.758391161046067,21.101027097545806,50.28953723971852,8.890011160294934,nan,nan,23.05244260522703,46.45317313621557
FA_Tim_Wet,32.0,nan,40.0,27.0,15.0,356.0,361.0,18.0,28.0,18.0,13.0,334.0,nan,6.0,335.0,44.0,nan,nan,7.0,9.0,9.0,72.0,360.0,19.0,319.0,323.0,37.0,37.0,10.0,nan,nan,77.0,39.0,5.0,43.0,4.0,17.0,348.0,11.0,26.0,31.0,43.0,354.0,347.0,40.0,365.0,61.0,41.0,365.0,47.0,14.0,58.0,80.0,331.0,nan,338.0,62.0
FA_Dur,nan,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,19.0,nan,3.0,2.0,4.0,nan,nan,4.0,nan,nan,5.0,nan,3.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,9.0,nan,nan,2.0,1.0,nan,3.0,3.0,nan,nan,nan,2.0,nan,2.0,2.0,nan,4.0,4.0,3.0,10.0,nan,nan,2.0,2.0
Tim_2,39.0,nan,46.5,44.0,nan,362.0,nan,62.5,53.5,43.0,24.0,351.0,nan,41.0,3.0,79.5,nan,nan,52.0,15.0,47.0,81.0,83.5,46.5,328.0,nan,71.0,44.0,nan,nan,nan,85.0,45.0,21.0,51.0,27.0,31.0,356.0,33.0,48.0,58.0,nan,365.0,353.0,49.0,67.5,76.0,49.5,19.0,63.0,41.0,56.0,104.0,349.0,nan,347.0,45.5
Dur_2,3.0,nan,2.5,1.0,nan,3.0,nan,1.5,1.0,3.0,1.0,1.0,nan,2.0,3.0,1.0,nan,nan,1.0,1.0,4.0,1.0,2.0,3.5,1.0,nan,2.5,1.0,nan,nan,nan,1.0,3.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,nan,2.0,1.0,2.0,1.0,1.0,1.5,1.0,2.0,2.5,1.0,1.0,1.0,nan,2.5,1.5
Fre_2,1.0,0.0,2.0,5.0,0.0,3.0,0.0,6.0,2.0,7.0,4.0,3.0,0.0,9.0,5.0,4.0,0.0,0.0,6.0,3.0,3.0,1.0,8.0,8.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,5.0,9.0,5.0,7.0,3.0,7.0,0.0,2.0,1.0,3.0,6.0,9.0,2.0,2.0,1.0,2.0,5.0,1.0,4.0,0.0,2.0,4.0
