Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
FA_Tim,83.0,nan,32.0,310.0,358.0,322.0,340.0,276.0,21.0,355.0,329.0,64.0,354.0,311.0,134.0,299.0,276.0,82.0,11.0,13.0,46.0,318.0,299.0,305.0,308.0,17.0
FA_Mag,26.92434115319389,nan,1409.75397540477,37.93444733738918,1839.7196657684976,42.84460492402183,79.84272121091706,39.95497880899317,115.7813259230867,213.97766497553482,184.77292842927218,74.99772572977098,167.84283647638526,104.95645479608727,279.8475754294527,201.87174676924636,16.006821039213175,47.9843028769174,279.6368082892111,849.6751694774331,34.96394638183864,178.9700327214756,249.93907115145396,101.96752188714613,53.68940394334411,129.94186356231216
FA_Tim_Wet,96.0,102.0,125.0,106.0,110.0,89.0,136.0,56.0,115.0,95.0,99.0,73.0,116.0,106.0,134.0,105.0,100.0,108.0,109.0,105.0,100.0,101.0,138.0,113.0,95.0,50.0
FA_Dur,5.0,nan,4.0,4.0,6.0,3.0,2.0,5.0,3.0,6.0,5.0,3.0,9.0,3.0,9.0,5.0,8.0,9.0,5.0,6.0,4.0,3.0,7.0,4.0,2.0,3.0
Tim_2,nan,126.5,152.5,nan,357.0,nan,153.5,nan,149.5,18.5,177.0,nan,137.0,48.5,156.0,nan,nan,nan,nan,77.5,nan,108.5,163.0,148.5,nan,67.0
Dur_2,nan,1.0,4.0,nan,4.0,nan,14.5,nan,15.5,1.5,1.0,nan,4.0,1.5,7.5,nan,nan,nan,nan,2.0,nan,1.5,22.0,2.5,nan,1.0
Fre_2,0.0,2.0,4.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,4.0,0.0,3.0
Tim_5,nan,152.0,150.5,nan,137.0,nan,156.0,nan,128.0,143.0,160.5,nan,140.5,143.5,141.0,nan,nan,152.0,136.0,146.5,nan,122.0,141.0,139.0,nan,106.0
Dur_5,nan,5.0,6.5,nan,4.0,nan,12.0,nan,48.0,1.0,2.5,nan,10.5,7.0,13.5,nan,nan,3.0,13.0,5.0,nan,2.0,50.0,7.0,nan,3.0
Fre_5,0.0,3.0,4.0,0.0,5.0,0.0,3.0,0.0,1.0,7.0,4.0,0.0,2.0,4.0,2.0,0.0,0.0,4.0,1.0,4.0,0.0,7.0,1.0,3.0,0.0,4.0
Tim_10,141.0,131.5,151.0,133.0,143.0,123.0,106.5,141.0,120.0,21.0,150.0,133.0,124.0,156.0,143.0,34.5,nan,138.0,123.0,134.0,121.0,81.5,36.0,43.5,122.0,104.0
Dur_10,6.0,6.5,5.5,15.0,6.0,9.0,30.0,2.0,4.0,2.0,18.0,7.0,2.0,9.5,8.0,1.0,nan,22.5,4.0,6.5,3.0,3.0,31.5,2.0,3.0,4.0
Fre_10,1.0,4.0,4.0,1.0,6.0,1.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,0.0,2.0,3.0,6.0,1.0,4.0,2.0,6.0,3.0,6.0
Tim_20,142.5,100.5,121.0,118.5,169.0,105.0,128.0,91.0,99.5,69.0,101.0,96.0,13.0,15.0,130.0,115.0,156.5,117.5,104.0,49.0,113.0,353.0,129.0,49.5,118.0,65.5
Dur_20,4.5,41.0,11.0,4.5,5.5,12.0,3.0,2.0,2.5,9.0,1.0,1.0,2.0,4.0,66.0,2.0,2.5,1.0,4.0,7.0,15.0,3.0,2.0,6.5,20.0,14.0
Fre_20,4.0,2.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,6.0,5.0,3.0,7.0,1.0,3.0,2.0,6.0,3.0,3.0,3.0,7.0,7.0,8.0,3.0,4.0
Tim_50,134.5,64.0,1.0,35.0,120.5,15.5,48.0,15.0,356.5,295.0,127.5,26.5,53.5,84.5,160.0,3.5,136.5,158.0,122.5,365.0,71.0,259.0,295.0,297.0,307.0,364.0
Dur_50,2.0,63.0,3.5,2.5,131.5,4.0,6.5,3.0,2.5,3.0,14.5,68.5,19.0,139.0,4.5,1.0,39.5,4.5,10.5,2.0,14.0,7.0,9.0,15.0,4.0,4.0
Fre_50,4.0,2.0,6.0,6.0,2.0,4.0,6.0,3.0,8.0,3.0,4.0,2.0,4.0,2.0,4.0,6.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0
