Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984
SU_BFL_Dur_Fl,nan,nan,nan,nan,nan,nan,nan,258.0,nan,292.0,nan,240.0,nan,nan,220.0,275.0,nan,nan,nan,270.0,248.0,nan,236.0,220.0,233.0,nan,nan
SU_BFL_Dur_Wet,317.0,318.0,257.0,301.0,195.0,nan,nan,302.0,248.0,297.0,262.0,240.0,nan,nan,247.0,275.0,nan,nan,nan,294.0,268.0,293.0,237.0,251.0,237.0,217.0,189.0
SU_BFL_No_Flow,208.0,257.0,249.0,243.0,131.0,nan,nan,219.0,205.0,200.0,201.0,168.0,nan,nan,205.0,262.0,nan,nan,nan,246.0,170.0,208.0,171.0,106.0,103.0,157.0,177.0
FAFL_Tim,nan,nan,nan,nan,nan,nan,nan,nan,339.0,nan,14.0,nan,333.0,nan,12.0,335.0,44.0,nan,nan,nan,15.0,358.0,nan,353.0,356.0,337.0,nan
FAFL_Mag,nan,nan,nan,nan,nan,nan,nan,nan,100.99097426674004,nan,206.87924957898903,nan,55.94495987880514,nan,527.9234690768194,41.973854650428535,75.95973763112026,nan,nan,nan,90.89722588468469,109.96546249312918,nan,173.9657654700526,500.976483917703,351.9245437439617,nan
FAFL_Tim_Wet,40.0,31.0,25.0,39.0,27.0,334.0,nan,362.0,18.0,23.0,19.0,5.0,333.0,nan,12.0,362.0,44.0,nan,nan,8.0,39.0,13.0,21.0,354.0,22.0,341.0,330.0
FAFL_Dur,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,3.0,nan,7.0,nan,3.0,9.0,2.0,nan,nan,nan,34.0,2.0,nan,4.0,3.0,4.0,nan
Wet_BFL_Mag,0.1,0.34,0.14000000000000004,0.0,0.0,0.31000000000000005,nan,0.4100000000000001,0.2,0.0,14.600000000000001,0.0,0.3,nan,17.0,0.0,0.7,nan,nan,2.86,0.0,0.73,0.935,4.0,5.2,12.4,0.25
WIN_Tim_2,47.0,nan,nan,49.0,72.5,nan,nan,19.5,67.5,41.5,41.0,20.0,352.0,nan,38.0,16.0,73.0,nan,nan,49.5,51.0,29.5,54.5,46.0,65.5,354.5,nan
WIN_Dur_2,2.0,nan,nan,1.0,1.0,nan,nan,1.5,1.0,1.0,1.0,2.0,1.0,nan,2.0,1.0,1.0,nan,nan,1.5,1.0,1.0,1.5,1.0,2.5,1.0,nan
WIN_Fre_2,1.0,0.0,0.0,3.0,4.0,0.0,nan,2.0,6.0,4.0,11.0,5.0,3.0,nan,9.0,1.0,2.0,nan,nan,6.0,3.0,6.0,2.0,7.0,10.0,6.0,0.0
WIN_Tim_5,28.0,39.0,32.0,49.0,43.0,nan,nan,19.0,24.0,33.0,25.0,14.0,359.0,nan,20.5,12.0,66.0,nan,nan,36.0,47.0,23.0,45.0,20.0,36.0,361.5,nan
WIN_Dur_5,2.0,2.0,1.0,3.0,2.0,nan,nan,2.0,2.0,2.0,3.0,3.0,2.0,nan,4.0,2.0,2.0,nan,nan,6.0,1.0,4.0,2.0,3.0,5.0,2.0,nan
WIN_Fre_5,2.0,1.0,3.0,3.0,5.0,0.0,nan,2.0,5.0,3.0,6.0,5.0,4.0,nan,6.0,7.0,5.0,nan,nan,5.0,5.0,4.0,5.0,7.0,7.0,6.0,0.0
WIN_Tim_10,27.5,38.0,35.5,44.0,86.0,21.0,nan,30.0,80.0,54.5,8.5,363.5,352.0,nan,352.0,4.0,66.0,nan,nan,13.0,65.0,11.0,53.5,45.0,6.0,1.5,345.0
WIN_Dur_10,4.5,3.0,3.5,5.0,3.0,2.0,nan,1.0,3.0,3.0,3.5,39.5,2.0,nan,3.0,2.0,3.0,nan,nan,15.0,3.0,3.0,4.0,5.0,8.0,2.5,1.0
WIN_Fre_10,2.0,1.0,2.0,3.0,5.0,1.0,nan,5.0,9.0,4.0,4.0,2.0,5.0,nan,3.0,7.0,5.0,nan,nan,3.0,4.0,5.0,4.0,9.0,4.0,8.0,5.0
WIN_Tim_20,13.0,54.5,30.0,44.0,86.0,21.0,nan,13.5,21.0,66.0,3.5,363.5,29.5,nan,352.0,24.5,53.0,nan,nan,10.5,44.0,364.0,64.0,341.5,343.5,314.0,25.5
WIN_Dur_20,2.0,6.0,4.0,19.0,5.0,2.0,nan,6.0,3.0,18.0,67.5,61.5,3.0,nan,5.0,15.0,35.0,nan,nan,55.5,2.0,37.0,17.0,76.5,96.5,168.0,2.5
WIN_Fre_20,5.0,2.0,3.0,3.0,7.0,1.0,nan,4.0,5.0,4.0,2.0,2.0,6.0,nan,3.0,6.0,2.0,nan,nan,2.0,5.0,3.0,5.0,2.0,2.0,1.0,6.0
WIN_Tim_50,274.0,274.0,275.0,274.0,274.0,274.0,nan,274.0,274.0,274.0,275.0,274.0,274.0,nan,275.0,274.0,274.0,nan,nan,274.0,274.0,274.0,275.0,274.0,274.0,274.0,275.0
WIN_Dur_50,365.0,365.0,365.0,365.0,365.0,365.0,nan,365.0,365.0,365.0,365.0,365.0,365.0,nan,365.0,365.0,365.0,nan,nan,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0
WIN_Fre_50,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
