Year,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
SU_BFL_Dur_Fl,nan,nan,nan,226.0,223.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,214.0,nan,239.0,188.0,250.0,nan,nan,nan,232.0,nan,nan,nan,190.0,166.0
SU_BFL_Dur_Wet,242.0,195.0,311.0,243.0,253.0,278.0,nan,nan,283.0,223.0,291.0,220.0,269.0,233.0,252.0,243.0,215.0,256.0,292.0,198.0,253.0,nan,nan,nan,234.0,228.0,274.0,232.0,244.0,220.0
SU_BFL_No_Flow,229.0,195.0,256.0,210.0,161.0,272.0,nan,nan,186.0,143.0,256.0,203.0,226.0,190.0,242.0,179.0,185.0,234.0,239.0,152.0,242.0,nan,nan,nan,186.0,206.0,132.0,192.0,96.0,24.0
FAFL_Tim,nan,nan,nan,nan,26.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,333.0,nan,319.0,315.0,41.0,nan,nan,357.0,11.0,nan,nan,nan,334.0
FAFL_Mag,nan,nan,nan,nan,136.81236758467452,8.095084653128167,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,52.95384498470664,nan,58.93598565098395,48.95958316355644,45.01623236694731,nan,nan,46.99033836016069,55.925123009834756,nan,nan,nan,222.92056046169756
FAFL_Tim_Wet,41.0,11.0,351.0,52.0,43.0,40.0,32.0,nan,39.0,25.0,14.0,354.0,358.0,17.0,22.0,18.0,9.0,334.0,32.0,7.0,325.0,44.0,nan,nan,2.0,13.0,9.0,25.0,360.0,23.0
FAFL_Dur,nan,nan,nan,nan,4.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.0,nan,14.0,3.0,3.0,nan,nan,2.0,34.0,nan,nan,nan,3.0
Wet_BFL_Mag,2.22,1.0,25.0,0.0,19.0,0.3,5.2,nan,6.8000000000000025,0.3,0.24000000000000005,6.800000000000006,1.97,6.2,1.7,46.0,12.5,7.41,0.0,1.1,4.7,2.0,nan,nan,9.8,1.06,10.0,2.08,14.0,4.17
WIN_Tim_2,nan,nan,19.5,nan,75.0,nan,39.0,nan,45.0,87.0,21.0,362.0,nan,29.0,nan,46.5,20.0,338.0,nan,38.0,61.0,82.5,nan,nan,38.0,33.5,17.0,nan,28.0,37.0
WIN_Dur_2,nan,nan,2.0,nan,1.0,nan,1.0,nan,2.0,1.0,1.0,5.0,nan,2.0,nan,2.0,1.5,1.0,nan,2.0,1.0,1.0,nan,nan,1.0,1.5,4.0,nan,2.0,3.0
WIN_Fre_2,0.0,0.0,6.0,0.0,9.0,0.0,1.0,nan,1.0,5.0,1.0,3.0,0.0,5.0,0.0,8.0,4.0,1.0,0.0,7.0,3.0,2.0,nan,nan,9.0,2.0,3.0,0.0,9.0,9.0
WIN_Tim_5,nan,58.0,14.0,57.0,49.0,49.5,39.0,nan,54.5,87.0,21.0,66.0,363.0,75.0,30.0,37.0,38.5,338.0,nan,17.0,61.0,79.5,nan,nan,13.0,15.0,28.5,55.5,20.0,38.0
WIN_Dur_5,nan,1.0,4.0,1.0,2.0,1.0,3.0,nan,4.0,3.0,2.0,1.5,1.0,3.0,1.0,14.0,1.0,1.0,nan,6.0,1.0,1.0,nan,nan,9.0,2.0,17.5,1.0,6.0,8.5
WIN_Fre_5,0.0,1.0,5.0,1.0,8.0,2.0,1.0,nan,2.0,7.0,1.0,4.0,1.0,9.0,1.0,3.0,4.0,5.0,0.0,7.0,7.0,6.0,nan,nan,5.0,3.0,2.0,2.0,7.0,6.0
WIN_Tim_10,nan,38.0,355.0,99.0,33.0,44.5,39.0,nan,54.0,43.0,21.0,62.0,30.0,55.0,30.0,58.5,31.0,350.0,nan,347.0,6.0,72.0,nan,nan,37.0,50.5,45.0,80.0,43.0,18.0
WIN_Dur_10,nan,2.5,40.5,2.0,4.0,5.0,5.0,nan,3.5,7.0,3.0,5.0,1.0,15.5,2.0,32.0,2.5,5.0,nan,44.0,4.0,6.0,nan,nan,2.0,3.5,2.0,4.0,20.0,3.0
WIN_Fre_10,0.0,2.0,2.0,2.0,5.0,2.0,1.0,nan,4.0,5.0,1.0,6.0,3.0,4.0,1.0,2.0,8.0,5.0,0.0,2.0,8.0,5.0,nan,nan,7.0,4.0,5.0,3.0,4.0,7.0
WIN_Tim_20,66.5,58.0,113.5,109.0,18.0,41.0,36.0,nan,61.0,74.0,20.0,81.5,30.0,87.5,48.0,16.5,364.0,71.0,36.0,9.0,335.0,40.0,nan,nan,354.0,47.0,365.0,50.5,354.0,18.0
WIN_Dur_20,4.5,6.0,4.5,7.0,63.5,4.0,2.0,nan,20.5,6.0,11.0,4.5,9.0,25.5,7.0,53.0,45.5,5.0,5.0,7.0,5.0,13.0,nan,nan,66.5,11.0,5.0,14.5,9.0,7.0
WIN_Fre_20,2.0,3.0,4.0,3.0,2.0,3.0,3.0,nan,2.0,5.0,1.0,6.0,3.0,4.0,3.0,2.0,2.0,5.0,1.0,5.0,7.0,3.0,nan,nan,2.0,5.0,3.0,2.0,3.0,7.0
WIN_Tim_50,274.0,274.0,274.0,275.0,274.0,274.0,274.0,nan,274.0,274.0,274.0,275.0,274.0,274.0,274.0,275.0,274.0,274.0,274.0,275.0,274.0,274.0,nan,nan,274.0,274.0,274.0,275.0,274.0,274.0
WIN_Dur_50,365.0,365.0,365.0,365.0,365.0,365.0,365.0,nan,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,nan,nan,365.0,365.0,365.0,365.0,365.0,365.0
WIN_Fre_50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0
