Year,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
SU_Dur_Fl,nan,151.0,204.0,112.0,226.0,nan,156.0,155.0,170.0,169.0,nan,nan,194.0,170.0,227.0,199.0,216.0,193.0,nan,nan,235.0,144.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,180.0,nan,nan
SU_Dur_Wet,183.0,169.0,313.0,184.0,231.0,265.0,218.0,215.0,334.0,216.0,201.0,228.0,256.0,170.0,228.0,208.0,226.0,205.0,213.0,181.0,237.0,259.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,234.0,180.0,241.0,139.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0
FA_Tim,327.0,nan,324.0,304.0,286.0,361.0,nan,330.0,329.0,285.0,327.0,nan,nan,320.0,337.0,345.0,346.0,313.0,333.0,nan,nan,6.0,299.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,326.0,nan,340.0,nan
FA_Mag,5079.946073866283,nan,4459.93799020131,1699.991162532795,4149.914772862498,1439.9847767769056,nan,2799.9613966715656,1309.978475118377,8279.813843483464,2599.9673795363688,nan,nan,1779.9406741550529,6039.790351230814,6199.8851506183,2049.913432890472,2539.9284584151833,965.9887134759048,nan,nan,4259.876119936797,1269.9821764403707,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2299.8606475509264,nan,4399.921275312789,nan
FA_Tim_Wet,10.0,317.0,342.0,48.0,358.0,1.0,28.0,27.0,24.0,84.0,9.0,346.0,359.0,17.0,337.0,346.0,355.0,323.0,345.0,351.0,311.0,8.0,49.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,328.0,346.0,340.0,342.0
FA_Dur,2.0,nan,4.0,5.0,2.0,3.0,nan,3.0,7.0,5.0,5.0,nan,nan,6.0,2.0,3.0,5.0,8.0,6.0,nan,nan,3.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,2.0,nan
Tim_2,47.5,365.0,7.0,56.0,46.0,12.0,38.0,15.0,45.0,31.0,20.0,6.0,365.5,21.0,14.0,13.0,21.0,15.0,42.5,15.5,37.0,63.5,58.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.5,35.0,1.0,343.0
Dur_2,2.0,1.0,3.0,3.0,1.5,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.5,1.0,2.0,1.5,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.5,1.0,1.0
Fre_2,6.0,1.0,5.0,1.0,10.0,3.0,1.0,4.0,2.0,7.0,1.0,5.0,2.0,5.0,5.0,7.0,3.0,5.0,2.0,4.0,8.0,6.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,6.0,5.0,1.0
Tim_5,27.0,343.0,7.0,65.0,19.0,27.0,38.0,41.0,51.5,31.0,19.0,363.0,3.0,21.0,14.0,19.5,32.0,15.0,42.0,12.0,362.0,55.0,57.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,350.5,47.0,3.0,90.0
Dur_5,3.0,1.0,3.0,2.0,2.0,5.0,3.0,1.0,2.5,4.0,3.0,3.5,1.0,2.0,2.0,2.5,1.0,2.0,2.0,2.0,3.0,2.5,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5,2.0,2.5,1.0
Fre_5,7.0,3.0,9.0,5.0,14.0,3.0,3.0,9.0,4.0,7.0,1.0,6.0,5.0,5.0,7.0,8.0,6.0,7.0,4.0,5.0,9.0,8.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,9.0,8.0,8.0
Tim_10,22.0,339.0,18.0,55.0,2.0,27.0,64.0,41.0,19.0,349.0,24.0,354.0,35.0,48.0,30.5,23.0,30.0,363.0,37.5,26.0,1.0,49.0,56.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,348.0,47.0,6.0,57.0
Dur_10,6.0,2.0,2.5,1.0,7.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,6.0,2.0,3.0,4.5,4.5,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,3.0,5.0,3.0
Fre_10,7.0,5.0,8.0,9.0,9.0,5.0,7.0,9.0,5.0,7.0,5.0,7.0,9.0,10.0,8.0,12.0,6.0,7.0,6.0,7.0,14.0,8.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.0,11.0,10.0,10.0
Tim_20,1.5,23.0,339.0,80.0,348.5,55.0,64.0,49.0,40.0,349.0,327.0,345.0,25.5,344.0,51.0,361.0,44.0,362.0,21.0,23.0,30.5,21.0,10.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0,70.5,17.0,60.0
Dur_20,4.0,4.0,6.0,2.5,7.5,4.5,6.0,5.5,4.0,4.0,2.0,4.0,4.0,6.0,10.5,6.0,9.0,7.0,5.0,4.5,15.5,4.0,2.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,12.0,14.0,5.0
Fre_20,10.0,9.0,5.0,8.0,8.0,6.0,5.0,8.0,8.0,9.0,5.0,7.0,8.0,7.0,6.0,8.0,7.0,10.0,9.0,10.0,6.0,6.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11.0,6.0,6.0,11.0
Tim_50,315.0,323.5,322.0,126.0,314.0,355.0,75.0,328.0,11.5,355.0,27.0,320.5,317.0,316.0,55.5,317.0,345.0,308.0,330.0,60.0,302.0,336.0,354.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50.0,329.5,319.0,300.0
Dur_50,1.0,98.5,193.0,7.0,17.0,3.0,15.5,4.0,16.5,32.5,3.0,93.5,34.0,210.0,1.5,2.0,5.0,16.0,4.0,16.0,103.5,7.0,43.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,91.5,4.0,2.0
Fre_50,3.0,2.0,1.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,1.0,4.0,3.0,5.0,3.0,3.0,4.0,2.0,5.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,2.0,3.0,5.0
