Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
SU_BFL_Dur_Fl,216.0,215.0,270.0,nan,nan,328.0,220.0,nan,289.0,nan,226.0,nan,nan,172.0,nan,nan,156.0,nan,nan,230.0,nan,nan,nan,206.0,nan,nan,214.0,237.0,nan,nan,nan,nan,192.0,nan,nan,nan,233.0,184.0
SU_BFL_Dur_Wet,267.0,230.0,349.0,207.0,181.0,329.0,226.0,259.0,290.0,170.0,289.0,301.0,128.0,256.0,181.0,281.0,158.0,194.0,249.0,238.0,259.0,355.0,236.0,266.0,267.0,183.0,221.0,239.0,248.0,310.0,311.0,205.0,194.0,238.0,234.0,304.0,236.0,187.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48.0,189.0,0.0,0.0,20.0,46.0,0.0,0.0,8.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,nan,15.0,336.0,318.0,nan,nan,14.0,34.0,nan,10.0,nan,336.0,nan,nan,7.0,nan,nan,325.0,nan,nan,333.0,nan,nan,nan,337.0,nan,nan,9.0,15.0,nan,nan,nan,nan,343.0,nan,nan,nan,338.0
FAFL_Mag,nan,1459.9907467891323,60.98566590837029,22.92066144685836,nan,nan,17.9729731198004,463.95834437985184,nan,24.949385394037513,nan,261.98386424022465,nan,nan,119.74348442734103,nan,nan,3.497235827702182,nan,nan,8.586289274885234,nan,nan,nan,264.9844346006435,nan,nan,378.9630561776924,170.96610719332895,nan,nan,nan,nan,43.97128544335212,nan,nan,nan,7.87987313167211
FAFL_Tim_Wet,8.0,66.0,351.0,32.0,6.0,352.0,15.0,40.0,39.0,11.0,324.0,34.0,32.0,309.0,91.0,315.0,16.0,327.0,17.0,50.0,341.0,353.0,13.0,364.0,32.0,32.0,355.0,16.0,17.0,41.0,54.0,74.0,20.0,345.0,326.0,38.0,54.0,341.0
FAFL_Dur,nan,2.0,4.0,5.0,nan,nan,3.0,2.0,nan,4.0,nan,2.0,nan,nan,3.0,nan,nan,9.0,nan,nan,7.0,nan,nan,nan,9.0,nan,nan,8.0,2.0,nan,nan,nan,nan,7.0,nan,nan,nan,8.0
Wet_BFL_Mag,0.6,6.5,2.1,1.09,1.1,0.66,1.9,11.0,3.84,2.3,0.3,0.5,3.3200000000000003,1.3,1.3,4.3,1.5,1.1,21.0,1.6999999999999997,1.5,0.08,7.779999999999999,2.24,2.2,1.9,0.363,5.04,6.580000000000001,3.03,2.34,2.4,24.6,4.9,1.7999999999999998,1.3,2.0,0.571
WIN_Tim_2,nan,25.0,5.5,83.5,18.0,9.0,55.0,74.0,49.5,32.0,nan,35.5,75.0,nan,53.0,361.0,23.0,nan,47.0,63.0,nan,361.0,56.0,6.0,40.0,41.0,nan,81.0,47.0,63.0,64.0,91.0,56.0,359.0,nan,69.0,64.0,nan
WIN_Dur_2,nan,2.0,1.5,1.5,1.0,4.0,1.0,3.0,1.0,1.0,nan,1.5,1.0,nan,2.0,2.5,1.5,nan,2.0,1.0,nan,1.0,2.0,3.0,2.0,1.0,nan,1.0,1.0,3.0,1.0,1.0,3.0,1.0,nan,2.0,2.0,nan
