Year,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943
SU_BFL_Dur_Fl,118.0,148.0,84.0,142.0,123.0,153.0,176.0,178.0,115.0,165.0,nan,135.0,102.0,190.0,132.0,195.0,168.0,183.0,167.0,nan,85.0,133.0,175.0,135.0,167.0,141.0,91.0,177.0,nan,158.0,110.0,220.0,166.0,151.0,167.0,129.0,155.0,nan,nan,nan,199.0,143.0,142.0,nan,254.0,118.0,104.0,167.0,183.0,133.0,170.0,nan,nan
SU_BFL_Dur_Wet,119.0,179.0,135.0,166.0,135.0,226.0,231.0,185.0,190.0,235.0,123.0,224.0,184.0,190.0,152.0,207.0,168.0,186.0,207.0,171.0,122.0,161.0,184.0,142.0,241.0,210.0,200.0,267.0,160.0,206.0,141.0,220.0,248.0,208.0,212.0,180.0,191.0,147.0,193.0,199.0,199.0,148.0,191.0,186.0,255.0,121.0,175.0,189.0,183.0,144.0,172.0,123.0,nan
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
FAFL_Tim,nan,335.0,336.0,297.0,354.0,322.0,327.0,10.0,315.0,278.0,333.0,nan,318.0,285.0,16.0,345.0,345.0,7.0,325.0,345.0,nan,311.0,331.0,8.0,338.0,339.0,335.0,275.0,345.0,nan,356.0,313.0,28.0,314.0,336.0,331.0,314.0,319.0,nan,nan,nan,28.0,347.0,319.0,nan,37.0,321.0,305.0,345.0,353.0,337.0,359.0,nan
FAFL_Mag,nan,55999.870135035264,23399.956935279028,20099.851549064308,27399.75794838393,23299.874178813592,9079.943095744564,30999.858567840336,34599.836947650554,21499.841416325507,44399.6668841234,nan,23999.873441395397,45299.82955815067,59799.716236646986,28299.95077327619,16199.921739064845,81499.52148201529,35099.86005026136,20199.962820805977,nan,31299.453938927043,28499.83405634128,49199.77442711951,30799.90008048343,27199.857785853055,15099.940891464024,23599.873302338274,17799.336335334352,nan,12199.736478294342,12899.947277914358,12599.844906843751,20899.93533606681,15499.861508761322,56799.777486537925,33699.70618101468,15899.874394349663,nan,nan,nan,19899.850982606025,16299.917410977507,13599.9235234486,nan,38199.83881170277,42799.80752704394,9579.973948132512,29399.870765049294,36299.8491601804,42999.66784123302,27699.91583381405,nan
FAFL_Tim_Wet,365.0,336.0,2.0,348.0,13.0,334.0,35.0,65.0,322.0,353.0,38.0,310.0,42.0,2.0,16.0,365.0,357.0,7.0,328.0,20.0,17.0,348.0,359.0,17.0,345.0,48.0,39.0,19.0,70.0,321.0,39.0,344.0,28.0,31.0,28.0,11.0,365.0,355.0,343.0,1.0,352.0,28.0,352.0,3.0,6.0,38.0,324.0,11.0,2.0,353.0,348.0,361.0,313.0
FAFL_Dur,nan,5.0,3.0,7.0,2.0,3.0,4.0,4.0,8.0,8.0,4.0,nan,3.0,5.0,2.0,8.0,2.0,2.0,4.0,4.0,nan,4.0,3.0,10.0,3.0,3.0,3.0,1.0,3.0,nan,5.0,6.0,4.0,2.0,7.0,3.0,5.0,4.0,nan,nan,nan,1.0,3.0,3.0,nan,4.0,4.0,6.0,4.0,3.0,2.0,4.0,nan
Wet_BFL_Mag,8440.0,14400.0,8506.0,6150.0,5870.0,8950.0,6080.0,6500.0,9508.0,5280.0,5480.0,8600.0,8600.0,7570.0,10550.0,12100.0,8390.0,34170.0,9540.0,6480.0,8300.0,6630.0,6890.0,14400.0,8662.0,6120.0,5140.0,4700.0,4690.0,15100.0,5320.0,4900.0,5650.0,5000.0,4300.0,8000.0,6830.0,4590.0,6864.0,4660.0,6470.0,5410.0,5080.0,4815.0,6232.0,7402.0,9943.0,4950.0,5660.0,16820.0,9364.000000000002,7228.0,2589.0
WIN_Tim_2,nan,71.0,15.0,13.0,75.0,33.0,nan,79.0,8.0,4.0,53.5,55.0,57.5,48.5,71.0,40.5,40.0,33.0,17.0,48.0,nan,19.0,17.0,68.0,37.0,57.0,nan,40.0,nan,19.0,nan,nan,nan,47.5,35.0,63.5,60.5,36.0,349.0,nan,361.0,263.0,nan,98.0,14.0,73.0,56.0,nan,26.0,66.0,24.0,25.5,nan
WIN_Dur_2,nan,1.0,2.0,2.0,3.5,2.0,nan,1.5,2.0,1.0,3.5,2.0,3.0,1.0,2.0,4.0,1.0,4.0,1.0,2.0,nan,1.0,5.0,2.0,3.0,2.0,nan,3.0,nan,1.0,nan,nan,nan,1.5,2.0,3.5,2.0,1.0,2.0,nan,1.0,1.0,nan,2.0,3.0,1.0,2.5,nan,1.0,4.0,5.0,2.0,nan
