Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
WIN_Tim_2,nan,nan,nan,nan,31.0,nan,360.5,nan,155.0,nan,113.0,16.0,nan,nan,145.5,nan,151.0,nan,nan,141.0,nan,30.5,nan,185.0,48.5,343.5,nan,46.0,nan,nan,nan,nan
WIN_Dur_2,nan,nan,nan,nan,3.0,nan,1.0,nan,7.5,nan,3.0,1.0,nan,nan,5.0,nan,3.0,nan,nan,2.5,nan,4.5,nan,1.0,1.0,1.5,nan,4.0,nan,nan,nan,nan
WIN_Fre_2,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,7.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,4.0,6.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0
WIN_Tim_5,nan,nan,nan,82.0,140.0,nan,139.0,nan,129.0,nan,96.5,76.5,nan,nan,118.0,128.0,139.0,nan,nan,125.0,136.0,125.5,nan,101.0,36.5,359.0,nan,102.0,nan,nan,nan,nan
WIN_Dur_5,nan,nan,nan,4.0,1.0,nan,2.0,nan,4.0,nan,3.5,1.5,nan,nan,3.0,5.0,13.0,nan,nan,2.0,14.0,5.0,nan,2.0,1.5,1.0,nan,6.5,nan,nan,nan,nan
WIN_Fre_5,0.0,0.0,0.0,2.0,5.0,0.0,5.0,0.0,5.0,0.0,10.0,2.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,7.0,1.0,6.0,0.0,5.0,16.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0
WIN_Tim_10,nan,nan,nan,132.0,120.5,141.0,124.0,nan,88.0,nan,47.0,75.0,136.0,nan,85.5,122.0,137.0,255.0,nan,97.0,123.0,120.5,122.0,134.0,50.0,62.0,134.0,67.0,nan,5.0,nan,nan
WIN_Dur_10,nan,nan,nan,9.0,4.0,2.0,2.5,nan,2.0,nan,9.0,11.5,1.0,nan,6.5,1.0,18.5,1.0,nan,2.0,5.0,9.5,2.0,2.0,3.0,3.0,1.5,16.0,nan,1.0,nan,nan
WIN_Fre_10,0.0,0.0,0.0,6.0,8.0,1.0,8.0,0.0,8.0,0.0,5.0,2.0,1.0,0.0,4.0,5.0,2.0,1.0,0.0,15.0,3.0,8.0,1.0,6.0,16.0,6.0,4.0,7.0,0.0,1.0,0.0,0.0
WIN_Tim_20,47.0,112.0,nan,67.0,87.0,136.0,25.0,102.0,2.0,139.0,122.0,61.0,143.5,nan,84.5,52.0,123.0,194.0,nan,40.0,83.5,28.0,114.0,73.0,339.5,47.0,106.0,24.0,115.0,69.0,111.0,148.0
WIN_Dur_20,2.0,1.0,nan,47.0,5.0,2.5,4.0,9.0,3.0,10.0,100.0,4.0,20.5,nan,3.0,4.5,2.0,2.5,nan,5.0,2.0,89.5,16.0,3.5,5.0,2.0,6.0,2.0,3.0,3.0,12.5,1.0
WIN_Fre_20,1.0,5.0,0.0,2.0,5.0,4.0,5.0,4.0,6.0,3.0,2.0,5.0,2.0,0.0,8.0,4.0,5.0,2.0,0.0,5.0,8.0,2.0,3.0,10.0,6.0,11.0,6.0,4.0,5.0,2.0,2.0,1.0
WIN_Tim_50,47.0,68.0,153.0,29.0,125.0,16.5,358.0,363.0,120.0,15.0,360.0,343.0,350.0,20.5,357.0,345.5,40.0,61.0,97.0,119.5,117.0,359.0,51.0,364.0,102.5,82.0,343.5,133.5,44.0,25.0,24.5,69.0
WIN_Dur_50,8.0,3.0,4.5,85.0,95.0,6.5,9.0,10.0,2.0,2.0,5.0,6.0,3.0,4.0,4.0,4.5,8.0,3.5,5.0,10.5,7.5,2.0,13.5,6.0,5.5,12.5,4.0,8.5,5.0,5.0,2.0,6.0
WIN_Fre_50,3.0,5.0,4.0,2.0,2.0,4.0,3.0,7.0,4.0,11.0,5.0,4.0,7.0,4.0,4.0,6.0,3.0,9.0,5.0,4.0,4.0,5.0,4.0,7.0,4.0,4.0,8.0,4.0,3.0,7.0,4.0,3.0
