Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
SU_BFL_Dur_Fl,133.0,nan,nan,nan,nan,nan,262.0,nan,nan,nan,nan,189.0,nan,nan,nan,101.0,nan,253.0,nan,nan,nan,nan,367.0,nan,263.0,nan,nan,nan,nan,202.0,99.0,nan,nan
SU_BFL_Dur_Wet,133.0,184.0,388.0,427.0,42.0,75.0,269.0,289.0,357.0,394.0,nan,374.0,43.0,332.0,70.0,359.0,89.0,459.0,495.0,69.0,334.0,59.0,431.0,70.0,437.0,415.0,125.0,336.0,156.0,313.0,253.0,125.0,68.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,nan,364.0,nan,nan,nan,nan,nan,75.0,nan,nan,nan,nan,30.0,nan,nan,nan,340.0,nan,58.0,nan,nan,nan,nan,199.0,nan,40.0,nan,nan,nan,nan,292.0,276.0,nan
FAFL_Mag,nan,28.93494145572853,nan,nan,nan,nan,nan,12.967967642921375,nan,nan,nan,nan,1.9904003667485672,nan,nan,nan,26.983370339882374,nan,84.69374089103957,nan,nan,nan,nan,108.99882561241071,nan,5.875117836412593,nan,nan,nan,nan,5.30471944275768,5.086076552571001,nan
FAFL_Tim_Wet,202.0,364.0,309.0,236.0,194.0,311.0,318.0,82.0,176.0,239.0,221.0,nan,215.0,289.0,221.0,319.0,233.0,311.0,264.0,210.0,332.0,218.0,313.0,263.0,291.0,214.0,222.0,13.0,217.0,42.0,38.0,65.0,316.0
FAFL_Dur,nan,2.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,11.0,nan,nan,nan,2.0,nan,9.0,nan,nan,nan,nan,5.0,nan,13.0,nan,nan,nan,nan,10.0,4.0,nan
Wet_BFL_Mag,2.3,2.92,2.5,1.71,1.5,2.4,2.0,1.8,1.6,1.4,1.2,nan,0.9,1.6600000000000001,1.0,1.4,0.67,0.883,nan,1.07,0.673,0.7,0.95,nan,0.010000000000000002,0.05,0.03,1.5,2.0,5.97,4.1,3.0,3.95
WIN_Tim_2,207.5,76.0,314.0,243.0,217.0,207.0,nan,151.0,200.5,249.0,228.0,nan,nan,216.0,227.0,364.0,133.0,nan,56.0,228.0,221.0,232.5,321.0,199.0,250.0,254.0,229.0,56.0,157.5,52.5,36.0,70.0,59.0
WIN_Dur_2,1.0,1.0,1.0,2.0,1.5,1.0,nan,1.0,1.0,1.0,1.0,nan,nan,1.0,1.0,1.0,1.0,nan,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,2.5,1.0,2.0,3.0,1.0,2.0
WIN_Fre_2,2.0,7.0,1.0,1.0,2.0,1.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,5.0,1.0,3.0,6.0,0.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,8.0,4.0,8.0,7.0,7.0,7.0
WIN_Tim_5,207.5,84.5,313.0,162.0,225.5,207.0,30.0,151.0,200.5,249.0,86.5,nan,219.0,216.0,227.0,364.0,90.5,210.0,153.5,228.0,221.0,232.5,321.0,199.0,250.0,147.0,229.0,56.0,117.0,162.0,129.5,47.0,150.5
WIN_Dur_5,1.5,2.5,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.5,2.0,1.0,2.5,2.0,3.0,2.0
WIN_Fre_5,2.0,8.0,1.0,2.0,4.0,1.0,1.0,8.0,2.0,2.0,2.0,0.0,1.0,5.0,1.0,3.0,6.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,9.0,6.0,16.0,14.0,20.0,10.0
WIN_Tim_10,57.0,86.5,321.0,206.0,222.0,144.5,30.0,97.0,200.5,249.0,86.5,nan,228.0,216.0,227.0,364.0,90.5,210.0,153.5,228.0,221.0,232.5,321.0,199.0,116.0,147.0,229.0,56.0,52.0,81.5,186.0,123.0,221.0
WIN_Dur_10,2.0,2.5,1.0,2.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.5,3.0,1.0,1.5,6.0,5.0,48.0
WIN_Fre_10,7.0,8.0,3.0,3.0,5.0,2.0,3.0,9.0,2.0,2.0,2.0,0.0,3.0,5.0,1.0,3.0,6.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,9.0,10.0,10.0,12.0,13.0,3.0
WIN_Tim_20,172.0,104.0,82.0,345.0,86.0,68.0,127.5,81.0,130.0,152.0,359.5,nan,228.0,215.0,160.5,96.0,339.0,214.5,38.0,224.0,355.0,232.5,339.0,137.5,116.0,40.0,84.0,91.0,33.0,16.5,275.0,201.0,274.0
WIN_Dur_20,7.0,11.0,6.0,5.0,2.0,3.5,2.5,2.0,6.5,3.0,2.0,nan,3.0,1.0,1.0,1.5,2.0,1.0,4.0,2.0,1.0,1.5,1.0,1.5,1.0,1.0,1.0,4.0,2.0,5.0,365.0,47.0,365.0
WIN_Fre_20,7.0,12.0,11.0,9.0,13.0,10.0,4.0,11.0,6.0,6.0,6.0,0.0,3.0,6.0,4.0,4.0,9.0,2.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,9.0,11.0,10.0,1.0,3.0,1.0
WIN_Tim_50,274.0,274.0,70.5,274.0,54.0,227.5,194.0,211.0,198.0,76.5,226.5,31.0,158.0,107.0,175.5,49.0,86.5,214.5,35.0,104.0,43.5,112.5,4.5,113.5,116.0,40.0,117.5,141.0,185.0,281.5,275.0,274.0,274.0
WIN_Dur_50,365.0,365.0,179.0,365.0,180.5,8.0,40.0,52.0,17.0,148.5,14.5,7.0,3.0,2.0,7.5,2.5,3.0,1.0,5.0,4.0,2.0,3.0,3.0,2.5,1.5,1.0,2.5,4.0,37.0,178.0,365.0,365.0,365.0
WIN_Fre_50,1.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,7.0,2.0,6.0,8.0,9.0,16.0,8.0,14.0,14.0,2.0,5.0,13.0,8.0,6.0,6.0,6.0,4.0,3.0,4.0,8.0,4.0,2.0,1.0,1.0,1.0
