Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
SU_BFL_Dur_Fl,216.0,206.0,167.0,nan,110.0,218.0,161.0,139.0,165.0,226.0,252.0,143.0,41.0,117.0,nan,100.0,8.0,221.0,30.0,89.0,71.0,237.0,78.0,nan,33.0,74.0,241.0,134.0,119.0,12.0,100.0,45.0,14.0,25.0,183.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,112.0,193.0,239.0,161.0,209.0,105.0,84.0,207.0,219.0,93.0,26.0,223.0,206.0
SU_BFL_Dur_Wet,222.0,234.0,202.0,273.0,231.0,226.0,221.0,195.0,226.0,253.0,257.0,243.0,241.0,238.0,184.0,263.0,212.0,233.0,238.0,257.0,250.0,253.0,249.0,246.0,239.0,268.0,270.0,246.0,220.0,202.0,251.0,244.0,230.0,201.0,237.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,198.0,231.0,250.0,218.0,247.0,243.0,274.0,212.0,234.0,219.0,203.0,250.0,233.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,325.0,110.0,96.0,68.0,nan,357.0,128.0,55.0,48.0,39.0,96.0,100.0,31.0,284.0,358.0,274.0,340.0,276.0,104.0,289.0,329.0,315.0,103.0,316.0,nan,280.0,276.0,82.0,11.0,13.0,286.0,318.0,299.0,274.0,285.0,45.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,346.0,3.0,82.0,111.0,45.0,81.0,328.0,312.0,76.0,108.0,356.0,275.0,86.0
FAFL_Mag,285.9374018846203,96.9894632722031,50.02794880853613,125.59678125055585,nan,579.7332143922592,68.97736703102618,56.790164816532716,29.92436431942507,28.851241049726035,28.1391350833865,62.9803634407335,599.7385241289973,25.937296946266745,209.8897109609687,31.001394698908452,73.87807811639858,35.98483782154958,87.9294679652703,49.98544915675767,50.709103728276474,38.87815144937126,62.98339592717207,108.98197938443269,nan,31.920368387728114,18.98168557300718,39.950415029626726,350.93693442276765,233.75149040164578,32.93183856033739,67.99446643876485,92.9165748613217,58.00044198216844,28.952663526450998,81.97832487759841,nan,nan,nan,nan,nan,nan,nan,nan,nan,100.95933000762477,599.7510560323067,171.85363298126202,71.99661572480571,65.93721774143698,37.01827687476656,36.856536458701754,62.769393579269675,44.966324527172716,74.05260780970137,70.96436951387867,29.99335853106761,35.98534827446281
FAFL_Tim_Wet,111.0,116.0,124.0,103.0,139.0,113.0,136.0,115.0,104.0,100.0,123.0,105.0,131.0,119.0,114.0,93.0,138.0,115.0,116.0,132.0,132.0,129.0,119.0,122.0,131.0,121.0,105.0,111.0,123.0,114.0,111.0,104.0,133.0,125.0,96.0,99.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,112.0,89.0,120.0,122.0,102.0,119.0,101.0,137.0,81.0,123.0,117.0,87.0,113.0
FAFL_Dur,7.0,5.0,6.0,7.0,nan,8.0,4.0,10.0,3.0,5.0,8.0,7.0,4.0,8.0,6.0,7.0,2.0,-1.0,5.0,2.0,5.0,5.0,9.0,4.0,nan,3.0,8.0,6.0,3.0,4.0,7.0,5.0,3.0,7.0,-1.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,5.0,4.0,6.0,2.0,8.0,4.0,2.0,4.0,4.0,8.0,0.0,8.0
Wet_BFL_Mag,30.0,129.9,35.0,23.0,82.0,28.0,58.400000000000006,19.0,20.8,15.0,22.0,65.6,20.3,13.0,20.0,52.7,15.0,17.0,97.4,23.0,17.0,14.0,51.099999999999994,21.8,142.0,15.0,9.5,41.2,15.0,22.3,17.0,17.400000000000002,27.0,114.7,18.0,61.300000000000004,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.7,45.0,35.2,61.1,19.0,24.7,15.400000000000002,12.0,38.0,72.60000000000001,30.0,17.0,25.0
WIN_Tim_2,339.5,169.5,nan,nan,nan,155.0,nan,169.0,nan,nan,nan,nan,99.0,nan,nan,nan,169.0,nan,165.0,nan,nan,nan,145.5,166.0,157.5,nan,nan,nan,147.0,176.5,nan,169.0,141.0,151.0,nan,147.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,146.0,132.0,191.0,nan,nan,nan,nan,149.0,nan,168.5,156.5,nan,nan
WIN_Dur_2,1.0,8.5,nan,nan,nan,1.0,nan,7.0,nan,nan,nan,nan,4.0,nan,nan,nan,6.0,nan,13.0,nan,nan,nan,2.0,1.0,7.5,nan,nan,nan,1.0,5.0,nan,1.0,49.0,2.0,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.5,6.0,2.0,nan,nan,nan,nan,2.0,nan,2.0,11.0,nan,nan
