Year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
FA_Tim,40.0,nan,nan,nan,nan,nan,nan,26.0,nan,nan,nan,nan,nan,nan,nan,nan,10.0,352.0,29.0,340.0,nan,334.0,nan,nan,nan,7.0
FA_Mag,2.964814882909153,nan,nan,nan,nan,nan,nan,177.8872993802932,nan,nan,nan,nan,nan,nan,nan,nan,39.950382757762455,25.945693651459447,272.6914509129582,3.583013424224213,nan,175.7263394820069,nan,nan,nan,4.012264058764008
FA_Tim_Wet,49.0,nan,83.0,91.0,319.0,333.0,nan,27.0,54.0,nan,353.0,44.0,3.0,64.0,33.0,nan,19.0,27.0,36.0,29.0,16.0,36.0,335.0,348.0,39.0,57.0
FA_Dur,5.0,nan,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,10.0,2.0,4.0,nan,3.0,nan,nan,nan,6.0
Tim_2,66.0,nan,92.0,101.0,344.5,339.0,nan,38.0,61.0,nan,nan,45.0,8.0,nan,40.0,nan,40.0,52.0,45.0,nan,66.0,57.0,359.0,354.0,60.5,nan
Dur_2,1.0,nan,1.0,1.0,1.5,3.0,nan,7.0,1.0,nan,nan,1.0,1.0,nan,1.0,nan,1.0,2.0,2.0,nan,2.5,2.5,2.0,2.0,3.0,nan
Fre_2,1.0,nan,1.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,3.0,5.0,0.0,4.0,10.0,1.0,1.0,2.0,0.0
Tim_5,62.0,nan,92.0,96.5,344.5,25.0,nan,40.0,60.0,nan,359.0,55.5,8.0,113.0,40.0,nan,64.5,34.5,82.0,127.5,58.5,73.5,359.0,99.0,70.0,66.0
Dur_5,2.0,nan,2.0,2.0,2.0,2.0,nan,28.0,3.0,nan,2.0,5.5,1.0,1.0,2.0,nan,3.0,10.5,5.0,1.5,3.5,3.0,1.0,1.5,2.0,1.0
Fre_5,3.0,nan,1.0,2.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,10.0,6.0,8.0,4.0,6.0,10.0,3.0,4.0,5.0,1.0
Tim_10,59.0,nan,89.5,96.5,343.0,25.0,nan,125.0,60.0,355.0,359.0,67.0,13.0,99.0,158.0,4.0,25.0,18.5,28.0,74.0,41.0,55.0,8.0,30.0,20.5,65.0
Dur_10,2.0,nan,3.0,6.0,3.0,9.0,nan,2.0,7.0,1.0,2.0,12.0,3.0,2.0,1.5,1.0,7.5,8.0,5.0,2.5,7.0,3.0,1.0,4.0,2.5,3.0
Fre_10,5.0,nan,2.0,2.0,3.0,3.0,0.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,6.0,4.0,5.0,6.0,5.0,11.0,8.0,7.0,6.0,3.0
Tim_20,39.0,nan,89.0,96.0,363.0,64.5,nan,162.0,60.0,2.0,359.0,61.0,110.5,99.0,157.5,6.0,7.5,1.0,18.5,41.0,45.0,209.5,34.0,351.0,345.0,74.0
Dur_20,4.0,nan,5.0,9.0,7.0,7.0,nan,3.0,8.0,2.0,6.0,8.0,8.5,4.0,6.0,2.0,63.5,6.0,123.0,9.0,17.5,4.0,6.5,2.0,3.0,3.0
Fre_20,4.0,nan,2.0,2.0,5.0,4.0,0.0,5.0,1.0,3.0,1.0,3.0,2.0,5.0,4.0,2.0,2.0,4.0,2.0,13.0,4.0,8.0,6.0,3.0,5.0,5.0
Tim_50,118.0,nan,125.0,92.0,326.0,62.0,93.0,21.0,50.0,1.0,359.0,51.5,67.0,156.0,157.5,332.5,178.0,332.0,274.0,275.0,301.5,274.0,274.0,275.0,85.5,325.5
Dur_50,13.0,nan,3.5,97.0,221.0,6.0,13.0,25.0,56.5,40.0,9.0,48.0,2.0,7.0,11.0,4.5,9.0,3.0,365.0,365.0,175.0,365.0,365.0,365.0,175.0,11.0
Fre_50,5.0,nan,4.0,1.0,1.0,9.0,7.0,3.0,2.0,2.0,1.0,2.0,5.0,4.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0
