Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976
FA_Tim,283.0,nan,280.0,nan,274.0,nan,14.0,35.0,6.0,274.0,nan,nan,nan,277.0,314.0,nan,337.0,nan,nan,311.0,nan,nan,nan,322.0,276.0,37.0,4.0
FA_Mag,4.359960558150086,nan,17.200059741257732,nan,16.000461254921962,nan,24.801413391867992,759.863441932634,36.90950764642852,4.702295331219938,nan,nan,nan,6.333395081694793,10.875435476826045,nan,157.04001191608936,nan,nan,43.946957603998676,nan,nan,nan,30.891267087859728,78.87394233441837,51.99133864036442,48.91894266220343
FA_Tim_Wet,298.0,9.0,333.0,18.0,121.0,21.0,14.0,35.0,40.0,124.0,305.0,36.0,33.0,146.0,89.0,320.0,70.0,322.0,20.0,48.0,329.0,357.0,37.0,3.0,70.0,38.0,122.0
FA_Dur,2.0,nan,7.0,nan,0.0,nan,6.0,3.0,8.0,0.0,nan,nan,nan,8.0,3.0,nan,5.0,nan,nan,9.0,nan,nan,nan,2.0,0.0,3.0,2.0
Tim_2,nan,67.0,nan,25.0,nan,27.0,nan,75.0,nan,nan,nan,67.5,nan,nan,nan,332.0,24.0,325.0,37.0,nan,333.0,nan,46.0,7.0,nan,nan,nan
Dur_2,nan,6.0,nan,1.0,nan,1.0,nan,3.0,nan,nan,nan,5.5,nan,nan,nan,5.0,8.0,3.0,14.0,nan,2.0,nan,3.5,1.0,nan,nan,nan
Fre_2,0.0,5.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
Tim_5,nan,42.5,nan,41.0,nan,27.0,nan,56.0,44.5,nan,nan,66.5,41.0,nan,nan,363.0,72.0,69.5,106.0,59.0,344.0,4.0,151.0,37.0,91.0,58.0,130.0
Dur_5,nan,11.0,nan,3.5,nan,2.0,nan,4.0,2.5,nan,nan,12.5,1.0,nan,nan,9.0,10.0,5.0,30.0,1.0,6.5,3.0,7.5,1.5,6.0,1.0,6.0
Fre_5,0.0,4.0,0.0,2.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,9.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,1.0
Tim_10,nan,71.5,355.0,66.5,nan,26.0,nan,54.0,44.5,nan,nan,66.0,40.0,22.0,96.0,363.0,37.0,30.0,170.0,72.0,365.0,363.0,74.0,42.0,67.0,57.0,8.0
Dur_10,nan,17.0,1.0,4.0,nan,6.0,nan,16.5,4.5,nan,nan,19.0,2.0,1.0,2.0,37.0,11.0,6.0,22.0,2.5,8.0,4.0,7.5,6.0,8.0,1.0,1.0
Fre_10,0.0,4.0,3.0,4.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,6.0,5.0,3.0,4.0,7.0,2.0,8.0,4.0,5.0,7.0,3.0
Tim_20,nan,36.5,360.0,79.5,65.0,168.0,34.5,5.0,24.0,nan,311.0,39.0,40.0,57.0,95.5,321.0,119.5,92.0,95.0,304.0,351.0,364.0,67.5,54.0,73.0,90.0,102.0
Dur_20,nan,24.5,2.0,4.0,1.5,1.5,1.0,67.5,9.0,nan,1.0,1.0,2.0,1.0,5.0,102.0,5.5,11.0,104.5,91.0,32.0,4.0,4.5,6.0,7.5,4.0,9.0
Fre_20,0.0,6.0,10.0,10.0,4.0,4.0,2.0,2.0,2.0,0.0,1.0,5.0,1.0,2.0,2.0,1.0,4.0,5.0,2.0,3.0,3.0,3.0,6.0,6.0,10.0,9.0,3.0
Tim_50,314.0,339.0,135.0,44.0,58.0,64.5,140.0,175.0,183.0,118.0,351.0,77.5,162.0,113.0,152.0,320.0,274.0,274.0,10.0,274.0,311.0,72.0,342.0,344.0,40.0,131.0,55.0
Dur_50,1.0,2.0,14.0,26.0,5.0,15.5,5.0,14.0,7.0,6.0,2.0,5.5,4.0,4.0,9.0,122.0,365.0,278.0,265.0,273.0,160.5,18.5,8.0,2.0,8.0,6.0,6.0
Fre_50,7.0,5.0,7.0,3.0,13.0,6.0,13.0,9.0,13.0,9.0,2.0,4.0,11.0,10.0,7.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,9.0,10.0,9.0,9.0,9.0
