Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974
FA_Tim_Wet,317.0,1.0,321.0,15.0,316.0,17.0,6.0,36.0,41.0,354.0,306.0,28.0,27.0,86.0,89.0,319.0,332.0,320.0,19.0,48.0,326.0,351.0,35.0,365.0,45.0
FA_Dur,2.0,2.0,5.0,nan,2.0,nan,nan,3.0,6.0,10.0,4.0,8.0,nan,10.0,10.0,nan,nan,nan,nan,3.0,nan,nan,nan,7.0,2.0
Tim_2,nan,16.0,nan,24.0,nan,26.0,nan,75.0,47.0,nan,nan,5.5,nan,nan,nan,326.0,22.0,nan,54.0,60.0,333.0,nan,73.0,7.0,nan
Dur_2,nan,2.0,nan,2.0,nan,2.0,nan,3.0,2.0,nan,nan,2.5,nan,nan,nan,7.0,3.0,nan,32.0,2.0,1.0,nan,1.5,2.0,nan
Fre_2,0.0,3.0,0.0,3.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0
Tim_5,nan,70.0,nan,56.5,nan,26.0,14.0,35.0,47.0,nan,nan,20.0,nan,nan,101.0,364.5,58.0,323.0,21.0,59.0,333.0,358.0,60.0,13.5,65.0
Dur_5,nan,5.0,nan,1.5,nan,2.0,1.0,7.0,1.0,nan,nan,1.0,nan,nan,1.0,8.5,12.0,3.0,134.0,7.0,2.0,3.0,3.0,1.5,1.0
Fre_5,0.0,7.0,0.0,4.0,0.0,1.0,1.0,5.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0
Tim_10,nan,12.0,337.0,44.0,315.0,26.0,34.5,38.0,42.0,nan,nan,5.0,40.0,92.0,100.0,28.0,22.0,13.0,17.5,65.5,355.0,358.0,80.0,40.5,65.0
Dur_10,nan,4.0,1.0,3.0,1.0,3.0,1.0,11.5,1.0,nan,nan,1.0,2.0,2.0,3.0,24.0,33.0,2.5,89.0,1.5,1.0,7.0,42.0,5.5,1.0
Fre_10,0.0,5.0,1.0,5.0,1.0,1.0,2.0,4.0,3.0,0.0,0.0,4.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0,6.0,3.0
Tim_20,nan,29.5,336.0,44.0,37.0,26.0,43.5,349.0,42.0,75.5,nan,39.0,151.0,21.0,100.0,320.0,337.0,35.5,15.0,10.0,25.0,357.0,183.0,352.0,34.0
Dur_20,nan,3.5,2.0,9.0,1.0,5.0,2.0,1.0,1.0,1.5,nan,2.0,2.0,2.0,7.0,141.0,42.0,1.5,1.0,10.0,1.5,11.0,3.0,2.0,1.0
Fre_20,0.0,6.0,3.0,5.0,6.0,1.0,6.0,5.0,5.0,2.0,0.0,7.0,2.0,3.0,3.0,1.0,3.0,8.0,3.0,5.0,8.0,2.0,5.0,4.0,5.0
Tim_50,73.5,336.0,80.0,19.0,10.0,103.0,92.0,359.0,43.0,32.0,317.0,336.0,101.5,21.0,43.0,320.0,302.0,196.0,340.0,175.0,47.0,5.0,342.0,243.0,77.0
Dur_50,2.5,5.0,5.0,163.0,7.0,7.0,1.0,12.5,128.5,6.0,3.0,6.0,4.5,3.0,1.5,310.0,6.5,5.0,2.5,7.0,43.0,6.5,1.0,24.0,6.0
Fre_50,2.0,5.0,9.0,1.0,9.0,7.0,11.0,4.0,2.0,7.0,3.0,5.0,10.0,9.0,6.0,1.0,4.0,3.0,12.0,4.0,4.0,6.0,7.0,3.0,4.0
