Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
SU_Dur_Fl,96.0,115.0,178.0,94.0,nan,nan,194.0,nan,nan,nan,229.0,nan,256.0,149.0,nan,nan,16.0,nan,nan,nan,nan,277.0,144.0,150.0,301.0,90.0,106.0,123.0,132.0,nan,nan,nan,nan,193.0,nan,nan,82.0,159.0,nan,nan,131.0,nan,110.0,183.0,129.0,125.0,137.0,nan,nan,nan,nan,nan,163.0,nan,52.0,nan,246.0,143.0,139.0,nan,58.0,383.0,nan,nan,nan,nan
SU_Dur_Wet,198.0,124.0,236.0,170.0,110.0,191.0,241.0,156.0,nan,393.0,278.0,nan,263.0,255.0,108.0,159.0,144.0,152.0,80.0,136.0,145.0,428.0,156.0,274.0,421.0,238.0,135.0,226.0,134.0,161.0,206.0,nan,nan,264.0,175.0,nan,144.0,214.0,150.0,226.0,176.0,154.0,180.0,226.0,178.0,144.0,215.0,nan,nan,nan,nan,153.0,220.0,185.0,186.0,nan,248.0,164.0,189.0,117.0,219.0,414.0,nan,nan,nan,nan
SU_No_Flow,86.0,0.0,145.0,1.0,61.0,191.0,122.0,0.0,nan,294.0,159.0,nan,150.0,147.0,96.0,79.0,0.0,73.0,0.0,13.0,83.0,146.0,69.0,150.0,229.0,67.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,nan,25.0,99.0,74.0,161.0,27.0,71.0,0.0,5.0,0.0,76.0,62.0,nan,nan,nan,nan,110.0,162.0,117.0,0.0,nan,210.0,122.0,134.0,44.0,0.0,242.0,nan,nan,nan,nan
FA_Tim,nan,364.0,352.0,25.0,316.0,nan,nan,35.0,nan,nan,nan,40.0,nan,93.0,363.0,nan,nan,274.0,nan,nan,nan,nan,322.0,8.0,338.0,128.0,275.0,15.0,352.0,29.0,nan,nan,nan,316.0,343.0,nan,nan,286.0,360.0,nan,nan,6.0,nan,327.0,11.0,349.0,327.0,342.0,nan,nan,nan,nan,nan,360.0,nan,291.0,nan,5.0,352.0,347.0,nan,279.0,203.0,nan,nan,nan
FA_Mag,nan,68.75342984035983,4.962286998167481,6.046603932260792,1.5959832599790154,nan,nan,14.891352541183075,nan,nan,nan,10.5223040145677,nan,2.4725466417502866,4.955072515755234,nan,nan,1.6630573707663328,nan,nan,nan,nan,5.990293397651914,4.635309747035128,2.417594000984704,6.835754685780314,2.3782215635480526,67.86896977428803,20.97358238942988,299.8141568274212,nan,nan,nan,41.977015116803095,2.4951234078360134,nan,nan,0.9621958019899781,2.8014527476404676,nan,nan,1.997348560096657,nan,6.95642215666633,62.96971361912724,1.7445765568405336,3.054254869942583,7.450435617213609,nan,nan,nan,nan,nan,2.544504390456155,nan,9.04737005020442,nan,33.483407217253266,2.9424184941227045,3.689682911485256,nan,2.9512452837104446,5.0242906100836,nan,nan,nan
FA_Tim_Wet,nan,101.0,361.0,83.0,27.0,8.0,7.0,82.0,39.0,nan,228.0,89.0,nan,100.0,104.0,320.0,334.0,37.0,19.0,307.0,326.0,351.0,108.0,20.0,97.0,248.0,58.0,44.0,90.0,31.0,27.0,41.0,nan,329.0,49.0,37.0,nan,348.0,50.0,21.0,58.0,51.0,5.0,32.0,54.0,33.0,346.0,55.0,nan,nan,nan,nan,43.0,52.0,4.0,60.0,nan,7.0,8.0,32.0,349.0,75.0,234.0,52.0,nan,nan
FA_Dur,nan,3.0,5.0,8.0,15.0,nan,nan,3.0,nan,nan,nan,5.0,nan,5.0,23.0,nan,nan,4.0,nan,nan,nan,nan,3.0,2.0,21.0,8.0,6.0,2.0,3.0,2.0,nan,nan,nan,3.0,7.0,nan,nan,6.0,2.0,nan,nan,3.0,nan,5.0,4.0,8.0,2.0,5.0,nan,nan,nan,nan,nan,28.0,nan,3.0,nan,7.0,4.0,3.0,nan,3.0,1.0,nan,nan,nan
Tim_2,nan,65.5,nan,nan,nan,nan,nan,125.0,nan,nan,nan,nan,nan,nan,nan,345.0,101.0,nan,57.0,nan,nan,358.0,nan,nan,nan,254.0,nan,60.0,120.0,62.0,251.0,71.5,nan,344.0,nan,46.0,nan,nan,nan,nan,60.0,nan,50.0,nan,64.0,nan,nan,154.0,nan,nan,nan,nan,nan,nan,73.5,59.0,nan,nan,nan,nan,354.0,nan,nan,nan,nan,nan
Dur_2,nan,8.0,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,2.5,5.0,nan,4.0,nan,nan,2.0,nan,nan,nan,1.0,nan,4.0,1.0,14.0,1.0,1.5,nan,3.0,nan,2.0,nan,nan,nan,nan,1.0,nan,4.0,nan,2.0,nan,nan,9.5,nan,nan,nan,nan,nan,nan,8.0,1.0,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan
Fre_2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,5.0,1.0,2.0,nan,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tim_5,nan,116.0,nan,109.0,nan,nan,14.0,94.5,47.0,nan,nan,nan,nan,nan,nan,344.5,179.5,nan,56.5,nan,nan,358.0,140.5,nan,nan,254.0,nan,40.0,153.0,28.0,251.0,100.0,nan,329.0,nan,46.0,nan,nan,nan,nan,60.0,nan,23.5,38.0,45.0,nan,27.0,86.5,nan,nan,nan,nan,75.0,nan,68.0,59.0,nan,5.0,nan,nan,100.0,nan,nan,214.0,nan,nan
Dur_5,nan,2.0,nan,1.0,nan,nan,1.0,2.0,2.0,nan,nan,nan,nan,nan,nan,6.0,4.5,nan,15.5,nan,nan,2.0,7.5,nan,nan,2.0,nan,5.0,3.0,7.0,1.0,5.5,nan,2.0,nan,6.0,nan,nan,nan,nan,1.0,nan,77.0,1.0,4.0,nan,1.0,2.5,nan,nan,nan,nan,1.0,nan,4.0,1.0,nan,1.0,nan,nan,5.0,nan,nan,1.0,nan,nan
Fre_5,0.0,3.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,1.0,8.0,nan,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
