Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Dur_2,1.5,3.5,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.5,1.0,nan,2.0,nan,4.0,2.0,3.5,2.0,1.0,2.0,nan,1.0,1.5,1.5,1.0,1.0,nan,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
Fre_2,2.0,4.0,10.0,6.0,3.0,4.0,1.0,2.0,4.0,2.0,1.0,0.0,4.0,0.0,5.0,9.0,4.0,8.0,8.0,3.0,0.0,4.0,6.0,4.0,2.0,8.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0
Tim_5,34.5,16.0,47.0,343.0,2.0,30.0,44.0,343.0,68.0,147.0,62.0,79.0,21.0,nan,79.0,27.0,361.0,33.0,32.5,31.5,65.0,351.0,47.0,1.0,80.0,46.0,4.0,33.0,92.0,36.0,60.0,76.0,346.5,76.5,353.0
Dur_5,1.5,4.0,3.5,2.0,2.0,6.0,2.0,2.0,2.0,3.0,3.0,2.5,2.0,nan,5.0,2.0,10.0,6.0,4.5,2.5,1.0,2.0,3.0,3.0,2.0,3.0,1.0,1.5,2.0,1.0,2.0,2.0,3.5,1.0,3.0
Fre_5,4.0,8.0,12.0,8.0,4.0,5.0,5.0,7.0,7.0,3.0,1.0,2.0,9.0,0.0,7.0,11.0,3.0,5.0,6.0,6.0,1.0,9.0,9.0,7.0,7.0,12.0,5.0,4.0,4.0,7.0,10.0,3.0,4.0,4.0,3.0
Tim_10,28.0,11.0,19.0,340.0,2.0,33.5,48.5,3.0,38.0,142.0,61.0,78.5,63.5,48.0,27.0,48.0,365.0,46.0,50.0,45.0,59.0,356.0,49.5,12.5,89.5,34.5,41.0,26.0,62.0,73.0,360.0,74.0,343.5,74.5,345.0
Dur_10,4.0,7.5,7.0,6.0,2.0,6.5,3.5,10.0,3.5,2.0,5.0,1.5,3.5,2.0,9.0,5.5,9.5,5.0,5.5,3.5,1.5,3.5,5.0,4.5,4.0,5.0,4.0,2.5,3.0,3.0,3.0,2.0,11.0,3.5,3.0
Fre_10,5.0,8.0,9.0,7.0,8.0,6.0,6.0,3.0,4.0,5.0,1.0,4.0,12.0,3.0,5.0,8.0,4.0,4.0,6.0,8.0,2.0,8.0,10.0,10.0,8.0,10.0,7.0,6.0,5.0,10.0,9.0,7.0,2.0,4.0,5.0
Tim_20,45.0,42.0,349.0,43.0,1.0,29.0,44.0,3.0,20.5,55.0,71.0,75.0,53.0,35.0,5.0,88.0,356.0,7.0,57.0,355.0,58.0,26.0,27.5,47.0,66.0,13.0,17.5,4.0,39.5,55.0,336.0,46.0,10.0,59.0,337.0
Dur_20,12.0,14.5,16.0,20.0,9.5,13.0,7.0,14.0,6.5,6.5,4.0,4.0,10.5,3.5,4.0,8.0,2.0,6.0,17.5,35.5,6.5,3.0,30.0,15.0,4.5,35.0,6.0,3.0,5.5,6.0,8.0,25.5,5.0,5.0,2.0
Fre_20,5.0,8.0,5.0,5.0,6.0,6.0,5.0,3.0,8.0,8.0,5.0,5.0,6.0,4.0,5.0,9.0,7.0,5.0,4.0,2.0,2.0,9.0,4.0,5.0,10.0,4.0,6.0,5.0,6.0,9.0,7.0,2.0,5.0,5.0,5.0
Tim_50,64.5,316.0,311.5,311.0,307.0,116.0,348.0,83.0,318.0,7.0,33.0,352.0,327.0,1.0,326.5,339.0,56.5,319.0,323.0,347.5,3.5,50.0,330.0,327.0,347.5,319.5,331.5,337.0,358.5,331.0,304.0,365.0,323.0,61.0,324.0
Dur_50,20.5,4.0,110.0,225.0,192.0,94.5,6.0,65.0,202.0,11.0,7.0,9.0,5.0,38.0,108.0,199.0,100.5,232.0,102.5,20.0,15.0,88.0,94.5,89.5,8.0,102.0,7.5,11.0,20.5,6.0,127.0,4.0,174.0,41.5,8.0
Fre_50,4.0,3.0,2.0,1.0,1.0,2.0,7.0,3.0,1.0,5.0,5.0,5.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,5.0
