Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
SU_Dur_Fl,137.0,185.0,215.0,161.0,nan,123.0,214.0,187.0,245.0,182.0,171.0,151.0,nan,207.0,257.0,170.0,238.0,154.0,nan,198.0,200.0,210.0,nan,181.0,212.0,271.0,136.0,217.0,nan,183.0,nan,172.0,241.0,157.0,204.0,nan,251.0,nan,160.0,258.0,nan,357.0,176.0,277.0,221.0
SU_Dur_Wet,185.0,192.0,252.0,256.0,190.0,156.0,220.0,190.0,292.0,184.0,189.0,158.0,169.0,221.0,286.0,171.0,337.0,227.0,216.0,237.0,207.0,252.0,205.0,213.0,217.0,313.0,197.0,224.0,316.0,188.0,223.0,177.0,245.0,158.0,241.0,267.0,304.0,207.0,230.0,308.0,164.0,359.0,176.0,284.0,228.0
SU_No_Flow,14.0,0.0,0.0,0.0,53.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,59.0,0.0,8.0,37.0,39.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,52.0,51.0,0.0,0.0,43.0,61.0,82.0,55.0,0.0
FA_Tim,346.0,319.0,316.0,361.0,320.0,nan,326.0,11.0,358.0,338.0,317.0,322.0,314.0,nan,16.0,3.0,336.0,328.0,296.0,nan,363.0,343.0,342.0,nan,346.0,340.0,330.0,327.0,16.0,nan,328.0,nan,340.0,343.0,353.0,361.0,nan,360.0,nan,340.0,21.0,nan,40.0,337.0,356.0
FA_Mag,61.99487911231112,309.98820695143024,539.9817419402506,181.9786889532816,43.99744257948479,nan,254.9855017728205,554.8001933916488,834.8723179742603,624.9153485567134,619.9641760687983,849.8951742697031,814.9295298600252,nan,1209.9530249962297,79.98205152960284,298.9171941703113,415.95595872184,171.87955832410523,nan,133.9924074739421,703.9658043001343,181.8594725198064,nan,1179.9112272923644,837.8890942916945,754.9515166674136,540.9224431928383,389.8849385806728,nan,364.9911421306002,nan,450.94775689675134,1219.7694999130756,568.9853135674821,366.00633462354494,nan,126.94166568170317,nan,523.899738400744,384.89816553767224,nan,297.9708231048877,686.9563110979616,744.9594553512078
FA_Tim_Wet,355.0,2.0,323.0,33.0,50.0,362.0,359.0,17.0,361.0,20.0,319.0,340.0,321.0,314.0,30.0,32.0,337.0,62.0,4.0,57.0,37.0,350.0,19.0,3.0,13.0,345.0,7.0,23.0,23.0,47.0,333.0,345.0,345.0,347.0,354.0,33.0,2.0,48.0,13.0,45.0,71.0,331.0,42.0,337.0,363.0
FA_Dur,4.0,2.0,3.0,3.0,3.0,nan,3.0,2.0,2.0,6.0,2.0,2.0,2.0,nan,3.0,5.0,6.0,3.0,4.0,nan,5.0,3.0,2.0,nan,3.0,2.0,4.0,3.0,3.0,nan,5.0,nan,2.0,4.0,3.0,2.0,nan,5.0,nan,5.0,4.0,nan,5.0,6.0,2.0
Tim_2,nan,17.0,51.0,63.5,nan,nan,23.5,nan,30.0,28.0,353.0,49.0,350.5,40.0,45.0,nan,nan,73.5,nan,62.0,43.0,17.0,nan,67.0,38.5,11.5,37.0,61.0,51.0,64.0,351.0,35.0,22.5,362.0,76.0,41.0,40.5,58.0,25.0,64.5,88.0,337.0,nan,345.0,66.0
Dur_2,nan,2.0,3.0,1.5,nan,nan,1.5,nan,6.0,2.0,2.0,2.0,4.0,1.0,1.0,nan,nan,1.5,nan,2.0,1.0,1.0,nan,10.0,2.0,3.0,4.0,2.5,2.0,2.0,1.5,1.0,2.0,1.0,2.0,1.0,1.5,2.0,2.0,2.0,1.0,1.0,nan,1.0,3.0
Fre_2,0.0,3.0,4.0,4.0,0.0,0.0,4.0,0.0,2.0,1.0,7.0,11.0,2.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,5.0,6.0,4.0,6.0,2.0,2.0,1.0,2.0,6.0,6.0,3.0,6.0,1.0,4.0,2.0,3.0,4.0,1.0,3.0,0.0,1.0,3.0
