Year,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
SU_BFL_Dur_Fl,nan,nan,235.0,202.0,205.0,140.0,nan,nan,nan,nan,nan,203.0,179.0,148.0,189.0,nan,nan,241.0,227.0,210.0,259.0,nan,254.0,nan,203.0,205.0,213.0,320.0,239.0,234.0,210.0,187.0,240.0,199.0,nan,186.0,275.0,226.0,294.0,nan,182.0,264.0,176.0,nan,nan,nan
SU_BFL_Dur_Wet,236.0,175.0,236.0,207.0,224.0,241.0,nan,260.0,214.0,215.0,297.0,207.0,184.0,149.0,253.0,252.0,307.0,339.0,227.0,281.0,263.0,289.0,259.0,272.0,259.0,206.0,218.0,324.0,239.0,235.0,242.0,198.0,326.0,248.0,241.0,257.0,277.0,236.0,309.0,230.0,246.0,311.0,186.0,281.0,nan,nan
SU_BFL_No_Flow,93.0,109.0,141.0,102.0,74.0,69.0,nan,216.0,71.0,102.0,119.0,149.0,35.0,0.0,87.0,128.0,166.0,208.0,148.0,130.0,245.0,112.0,184.0,132.0,154.0,94.0,106.0,139.0,0.0,140.0,91.0,156.0,132.0,165.0,128.0,121.0,99.0,186.0,187.0,159.0,114.0,65.0,160.0,235.0,nan,nan
FAFL_Tim,nan,nan,nan,13.0,335.0,8.0,300.0,nan,nan,nan,nan,nan,354.0,322.0,321.0,333.0,nan,nan,5.0,42.0,330.0,63.0,nan,364.0,nan,5.0,19.0,340.0,12.0,20.0,25.0,12.0,336.0,351.0,359.0,nan,360.0,42.0,6.0,25.0,nan,353.0,21.0,337.0,nan,nan
FAFL_Mag,nan,nan,nan,125.93723554842438,67.87718842467625,36.9841591986487,0.8785061803320613,nan,nan,nan,nan,nan,123.97337180559276,227.97839044013082,105.99347907915444,47.95725343574332,nan,nan,1.4852074127390174,19.978616300795206,2.046001549368697,101.7829835229685,nan,85.96010420293584,nan,120.87968118906831,60.89153112313141,160.9678617260676,87.03183634128379,205.97098944254031,301.91976407958936,31.939477939604036,21.877926061063754,37.60608118287385,28.803760829265954,nan,101.98288161648723,48.442436702104175,37.27094678040901,61.30979542221128,nan,616.9678476889052,87.54252111801267,55.2766643870928,nan,nan
FAFL_Tim_Wet,7.0,327.0,351.0,14.0,340.0,27.0,36.0,nan,5.0,4.0,5.0,22.0,358.0,327.0,322.0,32.0,40.0,38.0,103.0,42.0,36.0,67.0,38.0,4.0,32.0,61.0,20.0,345.0,16.0,20.0,26.0,44.0,347.0,72.0,43.0,363.0,66.0,44.0,16.0,40.0,16.0,52.0,68.0,347.0,54.0,nan
FAFL_Dur,nan,nan,nan,5.0,2.0,5.0,3.0,nan,nan,nan,nan,nan,2.0,4.0,5.0,2.0,nan,nan,31.0,3.0,8.0,4.0,nan,2.0,nan,3.0,6.0,5.0,3.0,3.0,3.0,8.0,4.0,3.0,3.0,nan,5.0,7.0,9.0,8.0,nan,3.0,4.0,4.0,nan,nan
Wet_BFL_Mag,4.57,4.95,1.1,4.12,3.15,1.1600000000000001,0.21,nan,3.9000000000000004,4.74,3.1,1.37,7.4,5.6,8.76,1.6300000000000003,3.6,0.6300000000000002,0.08,1.62,0.04,2.5,0.528,4.970000000000001,0.52,3.2,6.86,9.280000000000001,8.100000000000001,8.280000000000001,3.4000000000000004,1.2,1.81,0.99,1.23,4.977,3.258,1.604,0.788,0.606,2.1029999999999998,2.791,1.464,0.565,0.01,nan
WIN_Tim_2,38.0,nan,36.0,17.0,76.0,66.0,nan,nan,38.0,45.0,47.0,30.0,47.0,48.0,337.0,63.5,67.0,nan,nan,nan,nan,78.0,45.0,23.0,nan,24.0,49.5,360.5,37.0,38.0,51.0,65.0,40.0,103.0,29.0,45.5,82.0,58.0,34.0,64.0,39.0,50.0,62.5,357.0,nan,nan
WIN_Dur_2,1.5,nan,2.0,2.0,1.5,2.0,nan,nan,2.0,1.0,7.0,1.0,1.0,3.0,1.0,1.5,6.0,nan,nan,nan,nan,1.0,1.5,2.0,nan,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.5,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,nan,nan
WIN_Fre_2,4.0,0.0,1.0,3.0,2.0,5.0,0.0,0.0,7.0,5.0,3.0,1.0,8.0,12.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,7.0,0.0,7.0,6.0,6.0,9.0,5.0,4.0,1.0,2.0,1.0,2.0,6.0,10.0,1.0,3.0,1.0,2.0,7.0,2.0,1.0,0.0,0.0
WIN_Tim_5,36.0,336.0,359.0,59.0,17.0,53.0,nan,nan,38.0,52.0,59.0,80.0,25.0,22.0,337.0,63.5,43.0,44.0,nan,68.0,nan,77.5,46.0,62.5,44.0,93.5,40.5,356.0,29.0,47.0,58.0,84.5,3.0,74.0,28.5,66.0,64.5,49.0,41.0,56.0,63.0,60.5,63.5,347.0,nan,nan
WIN_Dur_5,2.0,2.0,2.0,3.0,2.0,2.5,nan,nan,3.0,2.5,5.0,2.0,4.0,5.0,2.0,1.5,11.0,1.0,nan,1.0,nan,3.0,2.0,4.0,1.0,5.0,3.0,4.0,2.0,4.0,4.0,1.5,2.0,1.0,1.5,4.0,3.5,2.5,2.0,2.0,2.0,3.5,1.5,3.5,nan,nan
WIN_Fre_5,6.0,5.0,3.0,9.0,7.0,8.0,0.0,0.0,9.0,6.0,5.0,3.0,6.0,9.0,9.0,4.0,3.0,1.0,0.0,3.0,0.0,4.0,3.0,6.0,2.0,8.0,8.0,5.0,7.0,6.0,7.0,4.0,3.0,5.0,4.0,8.0,8.0,2.0,4.0,4.0,7.0,10.0,4.0,2.0,0.0,0.0
WIN_Tim_10,27.0,1.0,359.0,36.0,7.0,51.0,nan,nan,37.5,59.0,88.0,28.0,26.0,358.0,343.0,63.5,33.0,65.0,nan,68.0,56.0,72.0,54.0,29.0,43.0,97.0,50.0,345.0,83.0,49.5,66.0,68.5,40.0,74.0,27.5,60.0,14.0,49.0,39.5,54.0,72.0,47.0,77.0,353.0,nan,nan
WIN_Dur_10,5.5,3.5,4.0,6.0,4.0,3.0,nan,nan,5.0,6.0,8.0,5.0,3.0,7.5,4.0,3.5,3.0,1.0,nan,2.0,2.0,3.0,6.5,3.5,3.5,7.0,3.0,2.0,6.0,6.0,3.5,2.0,3.0,2.0,4.0,4.0,4.0,4.0,5.5,4.0,4.0,2.0,2.0,2.0,nan,nan
WIN_Fre_10,6.0,8.0,3.0,7.0,9.0,7.0,0.0,0.0,12.0,6.0,4.0,3.0,11.0,4.0,11.0,4.0,5.0,3.0,0.0,5.0,1.0,3.0,2.0,8.0,2.0,9.0,9.0,5.0,9.0,6.0,4.0,4.0,4.0,7.0,4.0,9.0,7.0,2.0,4.0,5.0,9.0,5.0,5.0,3.0,0.0,0.0
WIN_Tim_20,56.5,47.5,36.0,23.0,10.0,35.0,50.5,nan,4.0,74.0,45.0,57.0,331.0,322.0,36.0,17.0,15.0,72.0,111.0,41.0,62.0,67.0,58.5,18.0,77.0,56.5,68.0,327.0,10.0,360.5,84.5,43.0,27.0,47.0,34.0,27.0,360.0,48.5,23.0,82.0,55.0,82.5,77.0,27.5,65.0,nan
WIN_Dur_20,3.0,14.0,8.0,10.5,3.0,17.0,3.0,nan,5.0,3.0,25.0,2.0,2.0,8.0,3.5,2.5,2.0,3.5,1.0,5.0,5.5,13.5,4.0,17.0,3.0,3.5,4.0,2.0,16.0,1.5,6.5,4.0,4.0,4.0,4.0,21.0,18.0,1.5,11.0,6.5,7.0,3.0,5.0,2.0,1.0,nan
WIN_Fre_20,6.0,4.0,3.0,4.0,6.0,4.0,2.0,0.0,9.0,6.0,3.0,5.0,7.0,7.0,4.0,8.0,8.0,4.0,3.0,5.0,4.0,2.0,4.0,6.0,4.0,6.0,4.0,3.0,3.0,4.0,6.0,5.0,9.0,9.0,5.0,5.0,5.0,6.0,3.0,4.0,7.0,10.0,5.0,4.0,1.0,0.0
WIN_Tim_50,309.0,329.0,340.0,335.5,70.0,78.5,322.5,nan,356.0,330.0,327.0,14.0,317.0,99.0,274.0,311.0,328.0,13.5,84.5,61.5,13.0,60.0,363.0,344.0,12.0,358.0,345.0,322.0,249.0,274.0,95.0,329.0,334.0,330.5,349.5,300.0,352.0,343.0,4.0,24.0,316.0,324.0,324.0,335.0,89.0,38.0
WIN_Dur_50,10.0,209.0,3.0,94.5,122.0,4.0,3.5,nan,3.0,108.5,2.0,4.0,1.0,166.5,280.0,218.0,210.0,54.5,13.0,68.0,6.0,88.0,133.0,210.0,29.0,224.0,212.0,231.0,8.0,281.0,3.5,189.0,185.0,87.0,74.5,3.0,2.0,168.0,7.0,4.0,100.5,256.0,13.0,166.0,8.0,5.0
WIN_Fre_50,3.0,1.0,6.0,2.0,2.0,4.0,6.0,0.0,3.0,2.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,2.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,5.0,1.0,3.0,1.0
