Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FAFL_Tim,26.0,337.0,40.0,32.0,310.0,nan,318.0,333.0,339.0,nan,355.0,310.0,316.0,353.0,316.0,338.0,284.0,320.0,357.0,11.0,nan,339.0,318.0,299.0,nan,nan,nan,4.0,341.0,nan,297.0,64.0,299.0,344.0,39.0,nan
FAFL_Mag,151.99919026526885,219.8822260166406,1829.8438524007552,9979.59592397135,351.9237810537754,nan,227.923765186099,802.9690086683779,128.899405275208,nan,1199.9838689638627,217.99179168904277,387.83201312927304,477.9946269859699,1819.8791163591488,405.9331220339991,277.92288973770576,28.001019362873993,494.94459261188655,1579.5833495645493,nan,158.80328833652797,2899.893353240162,2259.9406881532695,nan,nan,nan,71.96917785437833,90.98497583320466,nan,870.7388797172133,881.9651923610745,164.82547907319105,301.94227967023807,116.01977922848715,nan
FAFL_Tim_Wet,38.0,40.0,84.0,88.0,41.0,351.0,56.0,68.0,38.0,14.0,1.0,17.0,357.0,23.0,358.0,70.0,62.0,59.0,12.0,57.0,5.0,52.0,37.0,343.0,nan,nan,nan,49.0,1.0,56.0,57.0,67.0,46.0,15.0,57.0,nan
FAFL_Dur,3.0,4.0,4.0,6.0,5.0,nan,4.0,2.0,3.0,nan,4.0,4.0,5.0,4.0,3.0,3.0,2.0,9.0,2.0,4.0,nan,7.0,3.0,6.0,nan,nan,nan,5.0,4.0,nan,4.0,3.0,6.0,4.0,3.0,nan
Wet_BFL_Mag,90.0,25.0,137.79999999999998,124.0,60.0,348.0,110.0,108.8,38.900000000000006,330.2,104.4,105.7,58.2,128.4,154.8,48.2,40.7,10.0,200.70000000000002,106.0,372.0,26.0,164.9,272.1,nan,nan,nan,25.0,43.5,234.0,31.5,116.2,22.0,54.0,68.2,nan
WIN_Tim_2,nan,nan,40.0,97.0,nan,364.5,nan,75.0,nan,108.5,18.5,85.0,nan,125.5,21.0,137.5,nan,nan,111.0,117.0,30.0,nan,45.0,39.0,nan,nan,nan,nan,nan,68.0,nan,nan,nan,99.0,nan,nan
WIN_Dur_2,nan,nan,2.0,2.0,nan,4.0,nan,3.0,nan,3.5,3.0,1.0,nan,5.0,1.0,10.0,nan,nan,2.0,1.0,6.0,nan,2.0,1.0,nan,nan,nan,nan,nan,1.0,nan,nan,nan,1.5,nan,nan
WIN_Fre_2,0.0,0.0,1.0,3.0,0.0,2.0,0.0,3.0,0.0,6.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,3.0,2.0,0.0,5.0,9.0,nan,nan,nan,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,nan
WIN_Tim_5,nan,nan,110.0,104.0,319.0,112.0,322.0,135.0,nan,89.0,21.5,85.0,nan,124.0,91.5,129.0,nan,nan,121.5,117.0,108.0,nan,85.0,48.5,nan,nan,nan,nan,nan,76.5,nan,nan,nan,120.0,nan,nan
WIN_Dur_5,nan,nan,2.0,3.0,1.0,2.0,1.0,4.0,nan,11.0,2.0,2.0,nan,7.0,2.5,13.0,nan,nan,4.0,11.0,7.0,nan,2.5,2.0,nan,nan,nan,nan,nan,2.5,nan,nan,nan,2.0,nan,nan
WIN_Fre_5,0.0,0.0,6.0,5.0,1.0,5.0,1.0,7.0,0.0,3.0,4.0,1.0,0.0,3.0,6.0,3.0,0.0,0.0,10.0,3.0,5.0,0.0,8.0,12.0,nan,nan,nan,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,nan
WIN_Tim_10,63.0,nan,83.5,108.0,319.0,110.0,31.5,30.0,51.0,93.0,14.0,116.5,nan,106.5,96.5,115.0,nan,nan,61.0,94.5,104.0,117.5,32.5,355.0,nan,nan,nan,nan,nan,90.0,297.0,126.0,nan,51.0,nan,nan
WIN_Dur_10,2.0,nan,6.5,4.0,1.0,3.0,1.0,2.0,2.0,8.5,2.0,3.0,nan,4.0,4.0,2.0,nan,nan,9.0,3.5,10.0,1.5,3.5,7.0,nan,nan,nan,nan,nan,5.5,1.0,2.0,nan,2.0,nan,nan
WIN_Fre_10,2.0,0.0,4.0,4.0,1.0,7.0,4.0,7.0,1.0,4.0,5.0,6.0,0.0,4.0,10.0,5.0,0.0,0.0,5.0,8.0,7.0,2.0,8.0,9.0,nan,nan,nan,0.0,0.0,4.0,1.0,3.0,0.0,7.0,0.0,nan
WIN_Tim_20,105.0,nan,136.0,87.0,117.0,88.5,93.0,24.5,103.5,46.5,72.0,82.5,96.0,49.0,28.5,84.0,33.0,nan,15.0,64.5,95.5,105.0,78.0,327.0,nan,nan,nan,54.5,nan,79.0,84.0,118.5,103.5,36.0,108.0,nan
WIN_Dur_20,2.0,nan,8.0,3.0,5.5,5.0,3.5,4.5,7.0,18.0,8.0,2.5,3.0,2.5,4.0,6.0,1.0,nan,3.0,9.5,13.5,1.0,3.0,3.0,nan,nan,nan,1.0,nan,10.0,1.0,6.0,2.0,6.0,1.5,nan
WIN_Fre_20,7.0,0.0,5.0,7.0,4.0,8.0,6.0,6.0,4.0,4.0,13.0,8.0,9.0,8.0,6.0,5.0,2.0,0.0,5.0,4.0,4.0,5.0,10.0,7.0,nan,nan,nan,2.0,0.0,3.0,3.0,8.0,6.0,6.0,2.0,nan
WIN_Tim_50,28.5,52.0,4.5,350.0,349.5,335.0,318.0,98.5,23.5,337.0,331.5,319.0,343.5,348.0,312.0,29.0,49.0,113.0,122.0,354.0,346.5,32.5,311.0,244.0,nan,nan,nan,43.0,13.5,148.0,30.0,62.0,149.0,344.0,52.0,nan
WIN_Dur_50,69.0,3.0,76.5,4.0,4.0,6.0,211.0,3.5,7.5,12.0,3.0,119.5,5.0,9.5,6.0,4.0,9.5,3.0,3.0,91.0,4.5,6.0,3.0,4.0,nan,nan,nan,7.0,7.0,3.0,3.0,6.0,2.0,2.0,2.5,nan
WIN_Fre_50,2.0,7.0,2.0,3.0,6.0,7.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,6.0,6.0,6.0,2.0,4.0,4.0,5.0,3.0,nan,nan,nan,3.0,6.0,4.0,8.0,3.0,5.0,5.0,4.0,nan
