Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
SU_BFL_Dur_Fl,nan,nan,nan,nan,nan,181.0,223.0,196.0,nan,237.0,209.0,nan,245.0,185.0,243.0,nan,nan,133.0,194.0,229.0,nan,202.0,202.0
SU_BFL_Dur_Wet,nan,190.0,283.0,232.0,300.0,214.0,265.0,207.0,225.0,247.0,227.0,181.0,303.0,228.0,243.0,nan,nan,145.0,195.0,246.0,215.0,206.0,206.0
SU_BFL_No_Flow,nan,118.0,84.0,0.0,83.0,37.0,138.0,0.0,22.0,0.0,0.0,39.0,151.0,0.0,0.0,nan,nan,106.0,0.0,0.0,0.0,37.0,8.0
FAFL_Tim,nan,nan,nan,nan,nan,nan,320.0,340.0,10.0,nan,359.0,309.0,nan,319.0,316.0,33.0,nan,nan,351.0,11.0,358.0,nan,354.0
FAFL_Mag,nan,nan,nan,nan,nan,nan,4.6537517661064705,134.95631528892181,6.058859882175774,nan,63.95811362447366,3.831839111727789,nan,48.92047801819817,29.973804351034435,24.958157632728927,nan,nan,37.95964613197324,38.82565569168287,25.941608961362313,nan,90.98949226654777
FAFL_Tim_Wet,26.0,nan,36.0,24.0,14.0,353.0,353.0,17.0,21.0,15.0,4.0,327.0,354.0,12.0,359.0,33.0,nan,nan,363.0,12.0,10.0,21.0,358.0
FAFL_Dur,nan,nan,nan,nan,nan,nan,10.0,3.0,6.0,nan,2.0,7.0,nan,2.0,3.0,9.0,nan,nan,4.0,4.0,3.0,nan,4.0
Wet_BFL_Mag,2.38,nan,0.44000000000000006,2.0,0.61,6.360000000000001,0.5,0.5,0.8,8.82,0.81,0.18,0.18,0.48,2.2600000000000002,1.9,nan,nan,1.6,1.7,1.4,1.1,7.4
WIN_Tim_2,35.5,nan,42.0,95.5,20.0,3.0,364.0,29.0,nan,38.0,21.0,nan,nan,19.0,33.0,44.0,nan,nan,28.5,31.5,72.0,54.5,40.5
WIN_Dur_2,2.0,nan,3.0,1.5,3.0,2.0,1.0,2.0,nan,2.5,1.0,nan,nan,1.0,1.0,1.0,nan,nan,2.0,2.0,3.5,2.0,3.0
WIN_Fre_2,2.0,0.0,2.0,6.0,1.0,6.0,1.0,7.0,0.0,6.0,7.0,0.0,0.0,7.0,10.0,1.0,0.0,0.0,6.0,2.0,2.0,2.0,8.0
WIN_Tim_5,36.0,nan,44.0,63.5,20.0,4.0,362.0,59.5,62.0,38.0,14.0,336.0,36.0,31.0,3.0,66.0,nan,nan,23.5,15.0,58.0,54.5,47.0
WIN_Dur_5,2.0,nan,3.0,3.5,4.0,8.0,4.0,4.5,1.5,14.0,5.0,1.0,1.0,3.0,3.0,2.0,nan,nan,3.0,1.0,2.0,2.5,12.5
WIN_Fre_5,3.0,0.0,3.0,6.0,1.0,3.0,1.0,8.0,2.0,3.0,5.0,3.0,1.0,7.0,9.0,7.0,0.0,0.0,6.0,3.0,7.0,2.0,6.0
WIN_Tim_10,28.0,nan,61.0,40.0,19.0,68.5,362.0,81.0,62.0,19.0,14.0,361.0,16.0,17.0,27.5,66.0,nan,nan,62.0,44.0,12.0,53.5,345.5
WIN_Dur_10,8.5,nan,3.0,6.0,6.0,5.5,5.0,3.5,2.5,5.0,3.0,4.0,1.0,4.0,4.0,5.0,nan,nan,2.0,3.0,5.0,6.5,2.0
WIN_Fre_10,2.0,0.0,5.0,7.0,1.0,4.0,1.0,8.0,4.0,3.0,7.0,5.0,4.0,7.0,8.0,7.0,0.0,0.0,13.0,5.0,5.0,2.0,6.0
WIN_Tim_20,24.0,27.0,40.0,55.5,353.5,44.0,362.0,21.0,58.0,7.5,358.0,28.0,14.5,341.0,340.5,49.5,61.0,nan,363.0,11.0,11.0,46.0,354.0
WIN_Dur_20,2.0,1.0,4.0,4.5,2.0,14.5,2.0,7.0,2.5,2.0,5.0,2.5,3.0,5.0,2.5,9.5,1.5,nan,3.0,11.0,9.0,2.0,5.0
WIN_Fre_20,7.0,1.0,3.0,6.0,6.0,4.0,7.0,6.0,8.0,4.0,3.0,8.0,4.0,3.0,8.0,4.0,2.0,0.0,6.0,3.0,5.0,7.0,7.0
WIN_Tim_50,89.0,56.0,85.0,29.0,29.0,80.0,30.0,20.0,337.0,345.0,331.0,317.0,356.0,73.0,310.0,311.0,362.0,29.0,337.5,73.0,321.0,357.0,109.0
WIN_Dur_50,2.5,5.0,4.5,2.0,2.0,3.5,5.0,4.0,1.5,5.0,7.5,97.5,1.0,13.5,3.0,2.0,2.5,1.5,107.0,7.0,2.0,5.0,2.5
WIN_Fre_50,4.0,10.0,6.0,7.0,8.0,4.0,4.0,7.0,8.0,7.0,6.0,2.0,7.0,4.0,3.0,5.0,4.0,6.0,2.0,4.0,5.0,3.0,4.0
