Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
SU_BFL_Dur_Fl,nan,131.0,172.0,7.0,nan,nan,174.0,nan,nan,nan,nan,nan,115.0,nan,nan,213.0,80.0,nan,119.0,nan,114.0,311.0,170.0,110.0,123.0,179.0,172.0,nan,nan,272.0,210.0
SU_BFL_Dur_Wet,139.0,228.0,177.0,191.0,177.0,210.0,178.0,240.0,117.0,nan,183.0,283.0,118.0,239.0,188.0,374.0,212.0,116.0,195.0,216.0,147.0,319.0,219.0,217.0,205.0,269.0,179.0,246.0,178.0,296.0,234.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,274.0,nan,275.0,51.0,275.0,nan,nan,35.0,nan,nan,nan,nan,nan,325.0,nan,nan,279.0,283.0,nan,343.0,nan,321.0,21.0,318.0,310.0,317.0,278.0,16.0,nan,nan,31.0
FAFL_Mag,16.996834858740772,nan,7.006923159855714,18.990819811423428,3.3956107765456935,nan,nan,1259.9760361418125,nan,nan,nan,nan,nan,7.640051487801293,nan,nan,241.97618292911017,75.89983408447337,nan,58.99922184833942,nan,106.0107034176147,434.9938661764033,159.93106824922825,134.98240489662427,162.99289352592282,26.932747735729755,931.9898816322672,nan,nan,31.98179177158188
FAFL_Tim_Wet,48.0,11.0,7.0,56.0,94.0,30.0,66.0,39.0,36.0,297.0,nan,35.0,37.0,328.0,88.0,321.0,75.0,50.0,19.0,54.0,328.0,354.0,29.0,2.0,52.0,34.0,3.0,23.0,28.0,42.0,55.0
FAFL_Dur,2.0,nan,8.0,3.0,9.0,nan,nan,7.0,nan,nan,nan,nan,nan,10.0,nan,nan,6.0,7.0,nan,9.0,nan,3.0,5.0,9.0,1.0,2.0,0.0,2.0,nan,nan,4.0
Wet_BFL_Mag,1.2,27.4,17.7,7.63,3.0,1.5,2.5700000000000003,86.2,8.45,0.9,nan,5.8,37.8,3.22,3.9799999999999995,8.2,1.0,3.76,134.4,0.5,3.71,3.0100000000000002,19.0,4.6,2.5,3.2,3.34,50.2,2.4,0.368,2.7
WIN_Tim_2,nan,75.0,nan,nan,nan,nan,nan,74.0,44.5,nan,nan,45.5,nan,nan,94.0,327.0,77.0,nan,52.0,61.0,334.0,362.0,39.0,8.0,66.0,41.0,nan,81.0,87.0,55.0,nan
WIN_Dur_2,nan,6.0,nan,nan,nan,nan,nan,3.0,1.0,nan,nan,6.0,nan,nan,2.0,5.0,1.0,nan,16.0,4.0,3.0,2.0,4.0,3.0,6.0,2.0,nan,3.0,2.0,9.5,nan
