Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
SU_BFL_Dur_Fl,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,192.0,nan,123.0,195.0,148.0,nan,225.0,195.0,326.0,nan,113.0,75.0,81.0,nan,nan,nan,167.0,nan,nan,192.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SU_BFL_Dur_Wet,nan,nan,122.0,214.0,343.0,154.0,195.0,461.0,nan,143.0,nan,95.0,399.0,513.0,125.0,195.0,153.0,223.0,239.0,252.0,326.0,100.0,187.0,169.0,144.0,nan,nan,148.0,167.0,210.0,236.0,198.0,nan,315.0,174.0,nan,323.0,nan,nan,nan,217.0,235.0,177.0,nan,175.0,nan,241.0,192.0,nan,nan,436.0,309.0,nan,nan
SU_BFL_No_Flow,nan,nan,120.0,174.0,153.0,154.0,92.0,230.0,nan,142.0,nan,94.0,245.0,102.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,nan,nan,147.0,0.0,126.0,0.0,126.0,nan,190.0,42.0,nan,230.0,nan,nan,nan,159.0,187.0,0.0,nan,150.0,nan,221.0,136.0,nan,nan,325.0,298.0,nan,nan
FAFL_Tim,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,nan,11.0,352.0,29.0,nan,21.0,343.0,209.0,nan,329.0,322.0,309.0,nan,nan,nan,38.0,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,291.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FAFL_Mag,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,119.24192289878368,nan,32.84231647665756,48.99835741079507,265.97949701198354,nan,4.768723999542956,418.795253650522,99.92909675957887,nan,99.95903577200112,2.679673757147949,19.902738498025645,nan,nan,nan,21.767627678253625,nan,nan,31.979598700241887,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.64615065898968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
FAFL_Tim_Wet,nan,nan,nan,319.0,334.0,347.0,21.0,52.0,196.0,nan,43.0,nan,291.0,247.0,222.0,13.0,352.0,34.0,325.0,35.0,35.0,209.0,350.0,38.0,51.0,7.0,nan,nan,53.0,38.0,5.0,349.0,11.0,nan,197.0,35.0,nan,231.0,nan,nan,67.0,56.0,361.0,53.0,nan,19.0,nan,16.0,349.0,nan,nan,208.0,193.0,nan
FAFL_Dur,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.0,nan,3.0,9.0,3.0,nan,2.0,2.0,6.0,nan,8.0,15.0,3.0,nan,nan,nan,4.0,nan,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Wet_BFL_Mag,nan,nan,nan,0.0,0.0,0.0,0.0,0.21,0.0,nan,0.0,nan,0.0,0.0,0.01,1.1,0.551,16.2,1.0,0.5700000000000001,2.04,0.1,3.91,0.71,0.28,0.28,nan,nan,0.0,1.94,7.94,0.83,2.79,nan,0.0,3.9,nan,0.0,nan,nan,0.0,0.26400000000000007,2.686,0.0,nan,0.087,nan,0.0,0.0,nan,nan,0.0,0.0,nan
WIN_Tim_2,nan,nan,nan,344.5,243.0,nan,41.5,60.0,nan,nan,nan,nan,295.0,63.0,230.0,38.5,64.0,29.0,nan,76.0,35.0,209.0,3.0,139.5,65.0,34.0,nan,nan,189.0,74.5,23.5,39.0,44.5,nan,204.0,45.0,nan,238.0,nan,nan,238.0,nan,29.0,59.0,nan,53.0,nan,48.0,20.5,nan,nan,215.0,nan,nan
WIN_Dur_2,nan,nan,nan,2.5,1.0,nan,2.5,2.0,nan,nan,nan,nan,1.0,1.0,1.0,3.5,4.5,15.0,nan,2.0,3.0,2.0,2.0,1.5,2.0,1.0,nan,nan,1.0,1.5,10.0,1.0,3.0,nan,1.0,2.0,nan,1.0,nan,nan,1.0,nan,8.5,2.0,nan,1.0,nan,2.5,2.5,nan,nan,1.0,nan,nan
