Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
SU_BFL_Dur_Fl,204.0,138.0,162.0,nan,248.0,196.0,nan,276.0,236.0,196.0,171.0,147.0,nan,178.0,216.0,nan,252.0,229.0,nan,nan,184.0,181.0,200.0,129.0,132.0,146.0,216.0,202.0,212.0,nan,163.0,159.0,132.0,254.0,nan,nan,136.0,nan,227.0,nan,nan,218.0,nan,181.0,220.0,296.0,209.0,238.0,279.0,nan,nan,nan,219.0,173.0,202.0,270.0,nan,178.0,182.0,261.0,nan,301.0,163.0,260.0
SU_BFL_Dur_Wet,206.0,203.0,170.0,157.0,282.0,200.0,227.0,285.0,308.0,212.0,275.0,216.0,292.0,210.0,258.0,212.0,252.0,244.0,210.0,192.0,239.0,190.0,228.0,264.0,142.0,157.0,220.0,213.0,263.0,226.0,187.0,165.0,209.0,260.0,280.0,167.0,235.0,157.0,227.0,280.0,258.0,271.0,190.0,222.0,227.0,299.0,210.0,239.0,299.0,233.0,188.0,192.0,234.0,246.0,243.0,273.0,303.0,271.0,246.0,310.0,176.0,364.0,164.0,261.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,338.0,336.0,318.0,319.0,nan,14.0,26.0,nan,12.0,318.0,20.0,286.0,310.0,nan,322.0,339.0,nan,14.0,355.0,nan,nan,319.0,316.0,338.0,284.0,319.0,357.0,11.0,358.0,339.0,nan,322.0,321.0,318.0,31.0,nan,nan,328.0,nan,63.0,nan,nan,345.0,nan,346.0,345.0,12.0,20.0,24.0,12.0,nan,nan,nan,343.0,352.0,361.0,4.0,nan,286.0,353.0,21.0,nan,342.0,337.0
FAFL_Mag,687.9611289250319,149.9777506247659,72.93358894742477,69.97882067132466,nan,83.85961874831025,450.92854256589584,nan,38.99811017065373,17.979187436368807,78.00004901882345,1789.6896161687418,53.965298274442866,nan,58.01976265767853,382.9498906430427,nan,579.9813037942254,175.96644400821228,nan,nan,443.96587706911487,214.94792715688757,72.98953500596431,18.01566571963491,7.493372363949101,268.9613973698677,70.96916357502718,401.9512092311635,43.99516455119067,nan,265.99163503499693,175.9582287116701,100.98128864717043,276.96083659749814,nan,nan,42.98088868658094,nan,443.7864200715468,nan,nan,59.98526346454267,nan,351.9000358853519,258.9509503792286,1289.8375861258319,582.9146793440243,1479.8223917071562,125.98419493314904,nan,nan,nan,137.98222014765167,364.98907351341416,52.38613111657452,668.7600444402315,nan,138.97169898981477,409.9836337668754,80.15758224391858,nan,8.27868845551058,136.97978433099675
FAFL_Tim_Wet,351.0,338.0,18.0,327.0,350.0,48.0,30.0,5.0,21.0,25.0,36.0,25.0,14.0,355.0,354.0,16.0,18.0,14.0,5.0,331.0,348.0,9.0,325.0,1.0,54.0,329.0,3.0,15.0,4.0,25.0,361.0,346.0,327.0,30.0,37.0,32.0,338.0,62.0,295.0,63.0,37.0,5.0,33.0,5.0,22.0,352.0,15.0,21.0,25.0,32.0,330.0,344.0,356.0,358.0,60.0,37.0,7.0,43.0,14.0,52.0,70.0,334.0,40.0,338.0
FAFL_Dur,2.0,6.0,2.0,4.0,nan,2.0,4.0,nan,5.0,3.0,3.0,6.0,5.0,nan,2.0,4.0,nan,3.0,4.0,nan,nan,2.0,3.0,4.0,8.0,6.0,2.0,7.0,3.0,6.0,nan,3.0,2.0,3.0,3.0,nan,nan,2.0,nan,2.0,nan,nan,5.0,nan,4.0,2.0,3.0,3.0,2.0,5.0,nan,nan,nan,5.0,7.0,2.0,2.0,nan,3.0,5.0,3.0,nan,5.0,5.0
Wet_BFL_Mag,26.6,37.8,3.8,10.74,7.430000000000001,9.5,80.7,9.7,7.3,2.9,3.9400000000000004,5.9,5.3,205.0,5.920000000000001,7.8,14.4,155.8,17.8,30.4,5.550000000000001,14.0,33.0,16.0,3.7,1.7000000000000002,22.6,8.3,27.0,2.6,70.0,53.6,60.50000000000001,8.9,30.6,7.18,6.37,1.5,12.0,12.3,4.2,6.98,4.14,33.0,13.4,63.0,119.5,52.8,48.0,7.32,22.5,4.09,19.64,7.846000000000001,29.090000000000003,6.470000000000001,12.469999999999999,35.91000000000001,2.508,13.42,4.241999999999999,18.42,0.8860000000000001,22.96
WIN_Tim_2,12.0,365.0,nan,336.0,20.0,nan,62.0,28.0,nan,nan,54.5,41.0,21.0,55.5,nan,49.5,30.0,42.5,20.0,333.0,nan,38.0,60.0,62.5,nan,nan,38.0,44.0,12.0,81.0,73.5,49.0,353.5,40.0,70.5,nan,nan,71.0,nan,73.0,45.0,21.0,51.0,45.5,42.5,11.5,25.5,38.0,54.0,65.0,355.0,354.0,28.5,9.0,82.0,nan,25.0,55.0,60.5,56.0,82.5,347.5,nan,345.0
WIN_Dur_2,4.0,1.0,nan,1.0,2.5,nan,2.5,1.0,nan,nan,2.0,1.0,1.0,2.0,nan,1.5,2.0,3.5,1.5,1.0,nan,3.0,1.0,1.0,nan,nan,1.0,2.0,3.0,1.0,3.0,3.5,2.5,1.0,3.5,nan,nan,1.0,nan,2.0,1.0,2.0,1.0,3.0,3.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,nan,1.0,2.0,2.0,1.0,1.0,1.5,nan,2.0
WIN_Fre_2,5.0,3.0,0.0,1.0,6.0,0.0,10.0,2.0,0.0,0.0,2.0,5.0,1.0,4.0,0.0,6.0,1.0,8.0,4.0,1.0,0.0,5.0,7.0,2.0,0.0,0.0,5.0,1.0,3.0,1.0,4.0,12.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,1.0,6.0,2.0,2.0,6.0,3.0,5.0,1.0,3.0,5.0,4.0,5.0,10.0,0.0,3.0,3.0,2.0,5.0,2.0,2.0,0.0,1.0
WIN_Tim_5,31.0,365.0,61.0,1.0,29.0,97.0,49.0,47.0,39.0,nan,44.0,87.0,21.0,100.0,20.0,85.5,73.0,19.0,31.0,338.0,nan,31.0,3.0,59.5,nan,nan,23.0,65.0,56.0,55.0,40.5,22.0,335.5,40.0,44.0,44.0,17.0,71.0,nan,80.0,46.5,29.5,48.0,50.0,35.0,7.0,84.0,52.0,55.0,55.0,354.0,45.5,34.0,50.0,58.0,50.0,40.0,55.0,76.5,48.0,88.0,346.0,nan,351.0
WIN_Dur_5,4.5,2.0,1.5,1.0,11.0,2.5,2.0,2.0,3.0,nan,3.0,3.0,2.0,3.0,1.0,4.5,2.0,16.0,1.5,1.0,nan,3.0,2.0,2.0,nan,nan,4.5,2.5,2.5,2.0,3.0,8.5,2.0,1.0,12.0,1.0,1.0,1.0,nan,1.0,4.5,6.5,4.0,9.0,3.0,7.0,2.0,2.0,3.0,3.0,2.0,3.5,2.0,4.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,nan,2.0
WIN_Fre_5,8.0,7.0,4.0,5.0,4.0,2.0,7.0,3.0,1.0,0.0,3.0,7.0,1.0,3.0,4.0,8.0,3.0,3.0,6.0,3.0,0.0,7.0,9.0,8.0,0.0,0.0,6.0,4.0,6.0,2.0,10.0,6.0,6.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0,4.0,1.0,4.0,9.0,4.0,5.0,8.0,4.0,3.0,3.0,4.0,5.0,9.0,9.0,2.0,4.0,3.0,6.0,5.0,3.0,2.0,0.0,3.0
WIN_Tim_10,28.5,34.0,61.5,363.0,19.5,101.5,30.5,12.0,32.0,nan,44.0,58.0,354.5,25.0,13.5,21.0,48.0,19.0,14.0,350.0,360.0,10.0,3.5,56.0,nan,nan,36.0,51.0,47.0,80.0,363.0,6.0,335.5,40.0,49.0,58.0,17.0,77.0,47.0,76.0,65.0,29.0,43.0,68.0,18.0,356.0,10.0,68.0,41.0,42.0,354.0,94.5,34.0,365.0,365.0,48.5,25.0,54.0,55.0,48.0,94.5,346.0,nan,9.0
WIN_Dur_10,9.0,4.0,2.5,2.0,35.5,4.0,21.0,2.0,2.0,nan,10.0,4.5,2.5,14.0,3.0,13.0,3.0,3.0,3.0,3.0,1.0,5.0,6.5,5.0,nan,nan,4.0,4.0,3.0,4.0,15.0,13.0,3.0,1.0,11.5,1.0,2.0,3.0,1.0,3.0,2.0,2.0,4.5,5.0,2.0,6.0,3.0,2.0,5.0,4.0,2.0,2.5,5.0,17.0,4.0,4.5,4.0,7.0,6.0,2.0,4.5,7.5,nan,3.5
WIN_Fre_10,6.0,6.0,8.0,6.0,2.0,4.0,4.0,5.0,3.0,0.0,3.0,6.0,2.0,3.0,6.0,5.0,5.0,5.0,7.0,5.0,2.0,5.0,8.0,8.0,0.0,0.0,9.0,5.0,5.0,3.0,7.0,6.0,8.0,7.0,4.0,2.0,1.0,2.0,1.0,3.0,5.0,8.0,2.0,5.0,5.0,5.0,9.0,9.0,3.0,5.0,5.0,8.0,5.0,5.0,7.0,2.0,3.0,3.0,7.0,7.0,4.0,2.0,0.0,4.0
WIN_Tim_20,58.5,27.0,45.5,10.0,353.0,55.0,13.0,135.0,30.5,336.0,50.5,30.0,323.0,40.0,11.5,21.0,49.0,364.0,364.0,35.0,13.5,345.5,334.0,6.0,62.0,76.0,360.0,44.0,22.5,47.0,328.0,322.0,57.5,6.5,17.5,72.0,362.0,6.0,30.0,72.0,35.5,20.0,10.5,22.5,68.0,340.0,354.5,18.0,23.0,26.0,52.5,47.0,23.0,47.0,352.0,24.5,25.0,64.0,53.0,47.0,62.5,353.0,59.0,6.5
WIN_Dur_20,5.5,11.0,4.5,7.0,116.0,1.0,5.0,4.5,3.0,2.0,3.5,6.0,1.0,2.0,2.5,2.0,2.5,4.0,43.5,10.5,5.5,7.0,6.0,11.0,1.0,1.0,2.5,5.0,6.0,2.5,6.0,5.0,6.0,5.0,3.5,4.0,4.0,4.0,1.5,4.0,13.0,5.5,3.0,25.5,4.5,2.0,3.5,107.0,2.0,3.0,8.0,3.0,7.0,4.0,57.0,3.5,13.0,17.5,30.0,22.0,6.5,9.0,3.0,5.5
WIN_Fre_20,4.0,6.0,6.0,7.0,1.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,6.0,8.0,7.0,8.0,4.0,2.0,4.0,2.0,4.0,7.0,5.0,2.0,1.0,4.0,7.0,6.0,6.0,5.0,3.0,6.0,8.0,6.0,4.0,3.0,5.0,6.0,3.0,4.0,6.0,6.0,4.0,4.0,7.0,6.0,1.0,5.0,5.0,8.0,5.0,6.0,7.0,3.0,4.0,3.0,2.0,5.0,3.0,4.0,3.0,1.0,4.0
