Year,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
FAFL_Tim,339.0,360.0,355.0,nan,356.0,354.0,311.0,8.0,299.0,319.0,349.0,11.0,365.0,339.0,nan,322.0,315.0,316.0,17.0,3.0,336.0,328.0,297.0,nan,299.0,344.0,288.0,338.0,346.0,341.0,341.0,334.0,18.0
FAFL_Mag,111.93033587226066,258.96503736202175,631.9593621103622,nan,176.9431170227706,481.9549776139744,272.9725731312469,235.94997815258725,94.9037264760223,19.91521002580777,158.951079624788,481.9214469947865,487.84676666322275,94.92165586198927,nan,356.9209955404863,201.93188404854354,108.97163568406901,476.9106481251926,49.97860294635284,152.76508911930665,626.8013910041907,46.0219162267088,nan,86.89395708701169,347.8880199257885,17.894586549496722,433.9588207792111,314.9106043992207,493.87534235117727,152.95838672075254,347.97380603069746,206.93322453850698
FAFL_Tim_Wet,22.0,8.0,358.0,329.0,14.0,355.0,312.0,38.0,47.0,50.0,359.0,47.0,2.0,30.0,327.0,338.0,321.0,31.0,31.0,35.0,337.0,54.0,11.0,58.0,40.0,8.0,38.0,2.0,16.0,347.0,6.0,15.0,21.0
FAFL_Dur,3.0,3.0,4.0,nan,2.0,9.0,3.0,5.0,2.0,7.0,2.0,8.0,2.0,2.0,nan,3.0,3.0,6.0,4.0,4.0,3.0,2.0,4.0,nan,5.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0
Wet_BFL_Mag,10.1,62.5,49.4,55.0,22.0,40.4,71.6,17.0,11.0,2.4,80.0,16.9,60.1,4.8,75.0,42.0,95.5,20.700000000000003,65.0,5.5600000000000005,21.5,12.0,5.3,41.0,3.63,22.6,3.0600000000000005,28.1,25.0,95.6,19.0,18.0,95.3
WIN_Tim_2,49.5,20.0,10.0,85.0,39.0,15.0,28.5,64.0,nan,nan,15.0,nan,30.0,nan,20.5,43.5,343.0,nan,56.0,nan,nan,73.5,nan,63.0,51.0,77.0,nan,68.0,86.5,362.0,34.0,38.0,45.0
WIN_Dur_2,2.5,3.0,1.5,2.0,1.5,2.5,2.5,1.0,nan,nan,3.0,nan,6.5,nan,4.0,3.0,1.5,nan,4.5,nan,nan,1.5,nan,1.0,1.0,2.0,nan,7.0,2.5,3.0,3.0,2.0,2.0
WIN_Fre_2,2.0,3.0,4.0,1.0,2.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,6.0,6.0,4.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,3.0,0.0,3.0,4.0,5.0,5.0,5.0,3.0
WIN_Tim_5,31.5,66.5,1.0,17.0,59.0,12.0,361.0,66.0,60.0,nan,14.0,100.5,47.0,46.0,57.5,40.5,343.0,40.0,50.0,44.0,344.0,70.0,62.0,79.5,51.0,49.0,nan,79.5,49.0,2.0,57.5,38.0,51.0
WIN_Dur_5,5.0,2.5,12.5,2.0,2.5,3.0,4.0,3.0,1.0,nan,3.0,1.5,3.0,1.0,5.5,5.0,2.0,1.0,3.0,1.0,1.0,2.5,1.0,1.5,2.0,3.0,nan,3.0,3.0,7.5,8.0,4.0,3.0
