Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
FA_Tim_Wet,23.0,355.0,16.0,320.0,316.0,40.0,34.0,307.0,41.0,115.0,64.0,38.0,5.0,31.0,nan,nan,nan,14.0,29.0
FA_Dur,2.0,3.0,4.0,3.0,2.0,nan,nan,3.0,3.0,7.0,2.0,5.0,7.0,4.0,nan,nan,nan,3.0,3.0
Tim_2,nan,46.0,47.0,358.0,40.0,70.5,44.0,nan,nan,nan,85.0,44.0,34.5,nan,nan,nan,nan,41.5,48.0
Dur_2,nan,2.0,2.0,1.0,1.0,3.0,1.0,nan,nan,nan,1.0,2.0,1.5,nan,nan,nan,nan,1.5,1.0
Fre_2,0.0,6.0,12.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,nan,nan,nan,10.0,3.0
Tim_5,28.0,20.0,38.0,343.0,63.0,55.5,44.0,16.0,nan,296.0,84.0,54.0,8.0,50.0,nan,nan,nan,56.5,53.0
Dur_5,1.0,2.0,3.5,2.0,1.0,15.0,1.0,2.0,nan,1.0,1.5,1.5,2.0,2.0,nan,nan,nan,1.0,1.5
Fre_5,1.0,11.0,8.0,7.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,4.0,5.0,1.0,nan,nan,nan,10.0,6.0
Tim_10,80.0,353.0,358.0,346.5,350.0,31.0,61.5,16.0,24.0,329.0,72.0,5.0,13.0,49.0,nan,nan,nan,41.0,60.5
Dur_10,3.0,2.0,2.0,2.0,2.0,1.0,1.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,nan,nan,nan,2.0,2.0
Fre_10,3.0,9.0,6.0,12.0,9.0,5.0,2.0,1.0,2.0,3.0,5.0,5.0,11.0,5.0,nan,nan,nan,8.0,10.0
Tim_20,73.0,339.5,332.0,317.0,337.0,7.0,43.0,345.0,69.0,47.0,62.0,23.0,53.0,36.0,nan,nan,nan,334.0,337.0
Dur_20,2.0,3.0,3.0,70.5,2.0,1.5,1.0,1.0,1.0,1.0,1.0,2.0,1.5,1.0,nan,nan,nan,1.0,1.0
Fre_20,5.0,8.0,9.0,2.0,15.0,12.0,7.0,12.0,12.0,7.0,11.0,8.0,10.0,14.0,nan,nan,nan,7.0,7.0
Tim_50,338.0,211.5,312.0,310.0,303.0,100.5,6.0,51.0,23.0,49.0,9.0,28.0,348.0,20.0,nan,nan,nan,326.0,88.5
Dur_50,2.0,1.0,2.5,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.5,7.0,nan,nan,nan,2.0,2.0
Fre_50,9.0,8.0,6.0,9.0,9.0,22.0,25.0,19.0,22.0,22.0,13.0,11.0,6.0,14.0,nan,nan,nan,8.0,6.0
