Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
SU_Dur_Fl,211.0,nan,nan,119.0,202.0,nan,114.0,166.0,38.0,197.0,144.0,75.0,119.0,51.0,nan,151.0,127.0,27.0,77.0,77.0,237.0,72.0,206.0,43.0,38.0,143.0,142.0,140.0,182.0,99.0,48.0,50.0,74.0,136.0,175.0,161.0,204.0,62.0,186.0,195.0
SU_Dur_Wet,212.0,198.0,249.0,227.0,214.0,224.0,168.0,210.0,210.0,253.0,231.0,227.0,239.0,179.0,293.0,192.0,217.0,200.0,205.0,198.0,254.0,229.0,251.0,230.0,230.0,266.0,241.0,238.0,199.0,246.0,253.0,207.0,208.0,223.0,208.0,231.0,207.0,231.0,235.0,244.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,363.0,97.0,nan,nan,357.0,97.0,nan,10.0,39.0,281.0,40.0,32.0,319.0,358.0,322.0,nan,51.0,22.0,289.0,330.0,316.0,100.0,315.0,84.0,284.0,276.0,361.0,11.0,13.0,82.0,318.0,299.0,315.0,324.0,5.0,65.0,5.0,68.0,274.0,63.0
FA_Mag,599.9896462918289,1049.9715447178928,nan,nan,10199.483799945148,745.9725173614486,nan,272.95798321949235,536.7160860490752,197.9853688641821,1279.6744813675882,5349.380301128523,781.8035924019889,6269.974547148542,709.9591578874347,nan,849.7682860993629,1029.9083652969418,571.7439407628513,587.6542940432638,420.95204780382466,647.9892781208467,2469.5014063551043,563.9453793333182,572.9507607861364,241.9994175867077,906.9038200587948,1279.6780134701612,5999.776269991526,341.00373222663615,1629.9114312810082,3079.5657945464272,917.7868268628737,302.8688791796298,788.9598900152425,333.0021550960347,269.9533840079775,1219.8281839338742,259.999792160592,1229.7615042840268
FA_Tim_Wet,105.0,98.0,77.0,116.0,100.0,109.0,101.0,64.0,83.0,88.0,96.0,119.0,106.0,113.0,85.0,128.0,92.0,112.0,97.0,93.0,72.0,117.0,107.0,129.0,106.0,103.0,119.0,110.0,111.0,99.0,100.0,139.0,107.0,93.0,92.0,98.0,75.0,71.0,78.0,112.0
FA_Dur,8.0,6.0,nan,nan,23.0,4.0,nan,4.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,nan,2.0,3.0,2.0,3.0,3.0,6.0,2.0,2.0,2.0,7.0,2.0,4.0,6.0,2.0,2.0,5.0,5.0,2.0,2.0,7.0,3.0,5.0,5.0,2.0
Tim_2,145.0,nan,nan,157.0,151.0,155.0,153.0,nan,nan,nan,nan,99.5,nan,78.0,nan,167.0,nan,166.0,nan,nan,nan,149.0,151.5,145.0,nan,nan,169.0,142.5,171.0,nan,167.0,156.0,139.0,nan,142.5,nan,nan,nan,nan,139.0
Dur_2,17.0,nan,nan,5.0,2.0,3.0,7.5,nan,nan,nan,nan,3.0,nan,2.0,nan,2.0,nan,4.0,nan,nan,nan,2.0,3.0,9.0,nan,nan,2.0,4.0,3.5,nan,2.0,12.0,1.0,nan,6.5,nan,nan,nan,nan,2.0
Fre_2,1.0,0.0,0.0,1.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,3.0,2.0,4.0,0.0,5.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
Tim_5,168.0,170.0,132.5,149.0,125.0,145.5,157.0,nan,nan,nan,160.5,156.0,nan,156.0,nan,158.0,nan,165.0,137.0,161.0,nan,139.5,136.0,139.0,nan,nan,181.0,145.0,143.0,123.0,137.0,37.5,136.0,nan,106.0,nan,nan,nan,nan,155.0
