Year,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
FA_Tim,96.0,68.0,48.0,357.0,57.0,56.0,280.0,67.0,54.0,nan,32.0,313.0,nan,nan,337.0,51.0,21.0,355.0,330.0,nan,103.0,316.0,nan,285.0,104.0,61.0,70.0,13.0,71.0
FA_Mag,382.0030741029169,1599.667324329441,143.97787226417125,5039.6022572099055,298.96626493362186,241.9719480936547,53.00407481403053,363.76527508395486,48.9242908443903,nan,4129.825743546052,57.170368802647076,nan,nan,202.0020338815644,513.5003695058654,597.9985801472998,289.9613401328442,85.95245416868023,nan,331.0185075904423,2039.8546743775917,nan,46.9301299605683,87.99723253277767,101.97538684886251,174.9657300876507,3109.768569830576,71.98646347657309
FA_Tim_Wet,96.0,71.0,94.0,88.0,71.0,112.0,62.0,75.0,82.0,94.0,104.0,101.0,86.0,82.0,129.0,53.0,101.0,79.0,82.0,65.0,107.0,85.0,127.0,87.0,107.0,82.0,100.0,99.0,94.0
FA_Dur,9.0,3.0,8.0,4.0,3.0,4.0,7.0,7.0,19.0,nan,5.0,7.0,nan,nan,1.0,8.0,3.0,9.0,3.0,nan,9.0,8.0,nan,7.0,8.0,2.0,8.0,14.0,6.0
Tim_2,143.5,68.0,nan,138.0,139.0,130.0,nan,nan,nan,125.0,128.0,nan,120.0,nan,137.0,nan,127.0,79.0,nan,nan,141.0,126.0,138.5,nan,nan,140.0,140.5,94.5,nan
Dur_2,1.0,1.0,nan,4.0,2.0,11.5,nan,nan,nan,4.0,2.0,nan,3.0,nan,3.0,nan,33.0,2.0,nan,nan,6.5,3.0,11.0,nan,nan,3.0,4.5,3.5,nan
Fre_2,2.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,4.0,0.0
Tim_5,143.5,118.0,135.5,124.0,145.5,134.0,nan,nan,nan,122.0,125.0,nan,134.0,nan,136.0,nan,120.0,135.0,154.0,nan,123.0,80.5,137.0,nan,nan,138.0,126.5,118.0,117.0
Dur_5,2.5,4.0,3.0,3.0,3.0,9.0,nan,nan,nan,3.0,5.0,nan,5.0,nan,2.0,nan,4.0,3.0,2.0,nan,14.0,8.5,17.0,nan,nan,4.5,2.5,4.0,3.5
Fre_5,4.0,6.0,2.0,5.0,4.0,3.0,0.0,0.0,0.0,5.0,3.0,0.0,7.0,0.0,5.0,0.0,5.0,5.0,4.0,0.0,2.0,4.0,2.0,0.0,0.0,6.0,4.0,7.0,2.0
Tim_10,128.5,104.0,138.0,124.0,138.0,114.5,120.0,113.5,nan,135.5,136.0,133.0,135.5,107.0,128.0,123.0,100.0,129.0,130.0,140.0,121.0,113.0,129.0,nan,nan,115.0,117.0,116.0,133.0
Dur_10,3.5,15.0,6.0,5.5,7.0,31.5,2.0,5.5,nan,9.5,3.0,10.0,9.5,12.0,3.0,1.5,3.0,2.0,3.0,4.5,23.5,3.5,40.0,nan,nan,3.0,11.0,8.0,3.5
Fre_10,6.0,3.0,5.0,6.0,5.0,2.0,3.0,2.0,0.0,6.0,7.0,1.0,6.0,3.0,5.0,6.0,6.0,7.0,7.0,4.0,2.0,6.0,1.0,0.0,0.0,5.0,3.0,7.0,4.0
Tim_20,110.0,95.0,102.0,82.0,101.5,79.5,127.0,110.0,117.0,93.0,104.0,121.0,82.0,84.0,101.0,96.0,63.5,99.0,84.0,94.0,108.0,82.0,124.5,121.0,157.0,106.5,98.0,48.0,100.0
Dur_20,38.0,3.0,2.0,8.0,9.0,43.5,7.0,8.0,6.5,86.0,3.0,7.5,10.0,64.0,4.0,9.0,7.0,5.0,27.0,6.0,7.0,2.0,31.5,7.0,1.0,11.5,3.0,8.0,60.0
Fre_20,3.0,3.0,5.0,5.0,4.0,2.0,5.0,6.0,6.0,1.0,5.0,4.0,3.0,1.0,6.0,5.0,4.0,10.0,3.0,5.0,3.0,11.0,2.0,3.0,2.0,4.0,3.0,3.0,1.0
Tim_50,12.0,133.0,81.0,216.0,345.5,47.0,126.5,123.5,69.0,144.0,121.0,29.0,242.0,69.0,14.0,180.0,340.5,326.5,117.0,118.0,90.5,207.0,76.0,75.0,115.0,35.0,52.0,137.0,7.5
Dur_50,26.0,15.5,8.0,12.0,78.5,12.0,9.0,67.0,1.0,72.5,13.5,59.0,24.0,102.0,28.0,11.0,126.0,111.5,15.0,72.0,3.5,23.0,8.0,12.0,26.0,10.0,5.0,113.5,58.0
Fre_50,5.0,4.0,5.0,3.0,2.0,7.0,4.0,2.0,5.0,2.0,6.0,5.0,4.0,1.0,5.0,3.0,2.0,2.0,4.0,2.0,6.0,3.0,5.0,7.0,3.0,7.0,7.0,2.0,2.0
