Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968
SU_BFL_Dur_Fl,nan,108.0,160.0,111.0,nan,193.0,136.0,nan,nan,114.0,145.0,76.0,100.0,nan,90.0,108.0,10.0,nan,nan
SU_BFL_Dur_Wet,nan,135.0,168.0,217.0,134.0,195.0,186.0,150.0,188.0,198.0,194.0,180.0,176.0,135.0,209.0,152.0,128.0,171.0,188.0
SU_BFL_No_Flow,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,nan,317.0,342.0,24.0,320.0,nan,46.0,351.0,nan,nan,319.0,355.0,286.0,310.0,nan,288.0,333.0,276.0,nan
FAFL_Mag,nan,1489.9668021828525,1399.9727086200053,3939.9867425142616,1049.8908798233435,nan,2219.9840334212417,2849.995089837627,nan,nan,398.99297857095587,1019.9649888142557,20599.855059009045,2069.9004196256665,nan,461.9952896835305,1779.9683797753767,1349.735698275089,nan
FAFL_Tim_Wet,nan,6.0,4.0,32.0,61.0,349.0,48.0,36.0,9.0,31.0,38.0,39.0,25.0,21.0,350.0,42.0,12.0,29.0,13.0
FAFL_Dur,nan,3.0,2.0,2.0,2.0,nan,4.0,3.0,nan,nan,4.0,5.0,9.0,3.0,nan,3.0,2.0,3.0,nan
Wet_BFL_Mag,nan,700.0,605.6,640.6,347.0,495.40000000000003,1580.0,536.0,468.3,586.0,135.0,190.8,290.4,360.0,446.5,135.0,948.0,240.6,2177.0
WIN_Tim_2,nan,121.0,64.0,68.0,nan,74.0,65.0,125.0,nan,53.0,nan,41.0,31.0,319.0,364.0,nan,52.0,nan,23.0
WIN_Dur_2,nan,2.0,1.5,2.0,nan,2.5,2.0,3.0,nan,2.0,nan,1.0,3.0,1.0,5.0,nan,1.5,nan,4.0
WIN_Fre_2,nan,8.0,2.0,1.0,0.0,6.0,3.0,5.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0
WIN_Tim_5,nan,36.5,114.0,95.0,133.0,76.0,65.0,92.5,29.0,53.0,nan,114.0,96.0,319.0,25.0,nan,130.0,51.0,58.0
WIN_Dur_5,nan,1.5,2.0,3.0,1.0,9.0,4.0,6.0,1.0,2.0,nan,1.0,3.0,1.0,3.0,nan,2.0,2.0,1.5
WIN_Fre_5,nan,10.0,7.0,3.0,1.0,6.0,3.0,6.0,2.0,2.0,0.0,7.0,9.0,1.0,5.0,0.0,7.0,1.0,4.0
WIN_Tim_10,nan,25.0,112.0,95.0,140.0,101.0,106.0,90.5,13.0,73.0,nan,96.0,87.0,319.0,25.0,nan,75.0,51.0,60.0
WIN_Dur_10,nan,3.0,5.0,4.0,5.0,12.0,6.5,6.5,1.0,3.0,nan,8.0,6.0,1.0,8.0,nan,5.0,5.0,3.0
WIN_Fre_10,nan,9.0,9.0,5.0,3.0,7.0,4.0,8.0,3.0,5.0,0.0,5.0,9.0,1.0,5.0,0.0,7.0,1.0,11.0
WIN_Tim_20,nan,46.0,86.0,69.0,118.5,96.5,101.0,30.0,93.0,78.0,117.0,139.0,30.0,102.0,72.0,nan,27.0,50.0,78.0
WIN_Dur_20,nan,7.0,8.0,2.0,2.5,10.0,3.5,2.0,4.0,9.0,2.5,2.0,5.0,2.0,7.0,nan,3.0,3.5,6.0
WIN_Fre_20,nan,8.0,5.0,6.0,8.0,6.0,8.0,5.0,5.0,5.0,4.0,7.0,7.0,7.0,6.0,0.0,7.0,2.0,5.0
WIN_Tim_50,nan,338.5,363.0,25.0,19.0,340.0,14.0,4.0,36.0,49.0,54.0,20.0,1.0,39.0,346.0,37.0,118.5,134.0,323.0
WIN_Dur_50,nan,4.0,7.0,5.0,6.0,6.0,2.0,4.0,7.0,14.0,2.0,2.0,12.0,14.5,2.5,3.5,4.5,3.0,4.0
WIN_Fre_50,nan,6.0,4.0,4.0,7.0,3.0,5.0,6.0,4.0,4.0,7.0,3.0,4.0,6.0,6.0,8.0,12.0,33.0,17.0
