Year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
FA_Tim_Wet,91.0,89.0,99.0,83.0,102.0,83.0,129.0,47.0,95.0,83.0,90.0,65.0,107.0,84.0,129.0,105.0,121.0,79.0,106.0,107.0,61.0,105.0
FA_Dur,4.0,11.0,4.0,2.0,3.0,5.0,8.0,6.0,6.0,3.0,2.0,2.0,8.0,6.0,nan,2.0,5.0,2.0,4.0,2.0,10.0,2.0
Tim_2,nan,nan,138.0,nan,111.0,nan,132.5,nan,130.0,138.0,150.5,143.0,135.0,136.5,151.0,nan,nan,146.0,nan,121.5,nan,53.0
Dur_2,nan,nan,6.0,nan,5.0,nan,9.0,nan,11.0,3.0,7.0,5.0,6.0,4.5,11.0,nan,nan,3.5,nan,4.0,nan,1.0
Fre_2,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0
Tim_5,nan,nan,116.0,nan,129.5,nan,136.0,nan,120.5,137.0,82.0,136.0,139.5,135.5,143.5,130.0,nan,136.5,135.0,125.5,nan,94.0
Dur_5,nan,nan,1.5,nan,9.0,nan,7.0,nan,12.0,5.0,5.0,7.0,6.0,13.5,12.0,8.0,nan,4.0,13.0,4.0,nan,6.5
Fre_5,0.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,0.0,6.0,1.0,4.0,0.0,4.0
Tim_10,nan,115.5,96.0,147.0,101.0,nan,131.0,54.0,99.5,125.0,100.5,79.5,117.0,112.0,135.0,136.0,nan,104.0,123.0,153.0,118.0,50.0
Dur_10,nan,2.0,2.0,14.5,6.0,nan,22.5,1.0,29.0,7.0,6.0,4.0,36.0,3.0,40.0,1.0,nan,9.0,4.0,2.0,3.0,7.0
Fre_10,0.0,4.0,3.0,2.0,4.0,0.0,2.0,1.0,2.0,3.0,4.0,6.0,1.0,3.0,1.0,4.0,0.0,3.0,3.0,5.0,2.0,5.0
Tim_20,119.0,91.0,32.0,95.0,60.5,113.5,127.0,53.0,131.0,96.0,49.5,59.0,107.0,76.0,155.5,105.5,152.0,30.5,117.0,50.0,140.0,353.0
Dur_20,5.0,83.0,3.0,47.5,13.0,9.5,57.0,4.0,43.5,8.0,8.0,31.0,29.5,101.0,31.0,27.5,6.0,55.0,3.0,6.0,6.5,7.0
Fre_20,6.0,1.0,5.0,2.0,4.0,4.0,1.0,1.0,2.0,5.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,5.0
Tim_50,37.0,79.0,339.0,98.5,113.0,127.0,9.5,141.0,353.0,3.0,327.0,348.5,330.0,312.0,54.5,39.0,130.0,34.0,152.5,350.5,14.5,300.0
Dur_50,1.5,2.0,131.0,2.5,1.5,3.0,4.5,3.0,10.5,96.0,5.0,5.5,7.0,279.0,94.5,2.5,3.0,16.0,1.0,7.0,2.0,139.0
Fre_50,6.0,3.0,2.0,4.0,6.0,4.0,8.0,4.0,6.0,2.0,5.0,6.0,6.0,1.0,2.0,12.0,3.0,4.0,4.0,6.0,4.0,2.0
